Protein	Family,,Description
O34384	N/A,,N/A
O34410	N/A,,N/A
O34425	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
O34443	N/A,,N/A
O34445	PIRSF029889,,PIRSF029889
O34447	N/A,,N/A
O34486	PIRSF005690,,spore germination protein
O34499	N/A,,N/A
O34507	PIRSF000668,,serine/threonine-protein kinase YloP
O34512	N/A,,N/A
O34513	PIRSF019505,,PIRSF019505
O34529	PIRSF000532,,ATP-dependent phosphofructokinase, prokaryotic type
O34530	N/A,,N/A
O34536	N/A,,N/A
O34542	PIRSF004709,,uncharacterized protein with MOSC and/or 3-alpha domain
O34549	N/A,,N/A
O34588	PIRSF037356,,uncharacterized conserved protein
O34591	PIRSF000155,,thiamine pyrophosphate dependent dehydrogenase, E1 component, beta subunit
O34618	PIRSF006060,,amino acid transporter
O34633	N/A,,N/A
O34647	PIRSF006482,,probable transcription repressor YowR
O34660	PIRSF000147,,NAD-dependent aldehyde dehydrogenase
O34687	N/A,,N/A
O34709	N/A,,N/A
O34714	PIRSF004791,,conserved hypothetical protein YoaN
O34722	N/A,,N/A
O34751	PIRSF004804,,hypothetical protein, Mycoplasma genitalium MG369 type
O34759	N/A,,N/A
O34760	N/A,,N/A
O34764	N/A,,N/A
O34788	PIRSF000091,,alcohol dehydrogenase
O34795	N/A,,N/A
O34810	N/A,,N/A
O34812	PIRSF000091,,alcohol dehydrogenase
O34824	PIRSF005849,,phosphomannomutase
O34832	N/A,,N/A
O34833	PIRSF026508,,toxic anion resistance protein, TelA type
O34859	PIRSF006493,,Ku DNA-binding protein, prokaryotic type
O34860	N/A,,N/A
O34863	PIRSF002791,,excinuclease ABC chain A
O34872	N/A,,N/A
O34904	N/A,,N/A
O34909	N/A,,N/A
O34924	PIRSF001123,,glutamyl aminopeptidase, PepA type
O34948	PIRSF000103,,hydroxy monocarboxylic acid anion dehydrogenase, HIBADH type
O34949	PIRSF027959,,transcriptional regulator, MarR type
O34962	PIRSF000106,,malic enzyme
O34967	N/A,,N/A
O34968	N/A,,N/A
O34979	PIRSF039108,,uncharacterized ABC transporter ATP-binding protein
O34981	PIRSF000455,,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
O35004	N/A,,N/A
O35019	PIRSF037415,,uncharacterized conserved protein
O35033	PIRSF006132,,pantothenate metabolism flavoprotein dfp
O50147	PIRSF000728,,N-acetylglutamate kinase
O50397	N/A,,N/A
O50416	PIRSF001490,,cofactor-dependent phosphoglycerate mutase
O50431	PIRSF006020,,trimethylamine dehydrogenase
O50432	PIRSF033771,,transcriptional regulator, PadR type;;PIRSF500895,,transcriptional regulator, AphA type [Parent=PIRSF033771]
O50464	N/A,,N/A
O50508	N/A,,N/A
O50515	PIRSF002739,,phosphocarrier protein
O52631	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
O52632	PIRSF000724,,phosphoglycerate kinase
O52982	N/A,,N/A
O53083	PIRSF002191,,ribosomal protein L19
O53148	N/A,,N/A
O53154	N/A,,N/A
O53165	PIRSF006231,,probable transcription repressor mtrr
O53181	PIRSF000158,,2-oxoacid oxidoreductase, beta subunit
O53203	PIRSF036761,,glutamate dehydrogenase, Mll4104 type
O53213	N/A,,N/A
O53298	N/A,,N/A
O53310	N/A,,N/A
O53321	N/A,,N/A
O53329	N/A,,N/A
O53343	N/A,,N/A
O53346	PIRSF005641,,conserved hypothetical protein sll0993
O53353	N/A,,N/A
O53360	N/A,,N/A
O53362	N/A,,N/A
O53399	N/A,,N/A
O53406	N/A,,N/A
O53417	PIRSF007542,,membrane protein
O53469	N/A,,N/A
O53493	N/A,,N/A
O53509	PIRSF026643,,transcriptional regulatory protein type
O53512	PIRSF015573,,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase
O53521	N/A,,N/A
O53531	N/A,,N/A
O53532	N/A,,N/A
O53547	N/A,,N/A
O53564	N/A,,N/A
O53578	N/A,,N/A
O53579	N/A,,N/A
O53580	PIRSF500554,,PIRSF500554
O53598	N/A,,N/A
O53611	PIRSF009407,,isocitrate dehydrogenase, monomeric type
O53622	N/A,,N/A
O53641	N/A,,N/A
O53672	N/A,,N/A
O53673	N/A,,N/A
O53718	N/A,,N/A
O53777	PIRSF021513,,rubromycin-type polyketide biosynthesis protein, GrhN/RubW type
O53789	N/A,,N/A
O53834	N/A,,N/A
O53842	N/A,,N/A
O53857	N/A,,N/A
O53858	PIRSF000291,,laccase
O53900	PIRSF036941,,uncharacterized conserved protein with permease domain, PsaB type
O53901	PIRSF005998,,mycocerosic acid synthase
O53977	N/A,,N/A
O54130	N/A,,N/A
O58655	PIRSF003020,,translation initiation factor eIF-2 alpha chain
O65934	N/A,,N/A
O68970	PIRSF000081,,phycocyanin
O68973	N/A,,N/A
O69250	PIRSF002739,,phosphocarrier protein
O69289	PIRSF003112,,chaperonin GroEL
O69637	N/A,,N/A
O69654	N/A,,N/A
O69659	N/A,,N/A
O69670	N/A,,N/A
O69684	N/A,,N/A
O69690	N/A,,N/A
O69695	N/A,,N/A
O69722	N/A,,N/A
O69850	PIRSF006534,,probable transcriptional regulator YvhJ
O69879	N/A,,N/A
O69896	N/A,,N/A
O86312	N/A,,N/A
O86320	N/A,,N/A
O86340	N/A,,N/A
O86351	N/A,,N/A
O86365	N/A,,N/A
O86517	N/A,,N/A
O86525	N/A,,N/A
O86560	N/A,,N/A
O86575	N/A,,N/A
O86637	N/A,,N/A
O86716	PIRSF000253,,nitrate reductase beta chain
O86757	N/A,,N/A
O86775	N/A,,N/A
O87527	N/A,,N/A
O88017	PIRSF000110,,glucose-6-phosphate dehydrogenase
O88038	N/A,,N/A
O88060	N/A,,N/A
O93774	N/A,,N/A
P00350	PIRSF000109,,phosphogluconate dehydrogenase (decarboxylating)
P00363	N/A,,N/A
P00370	PIRSF000185,,glutamate dehydrogenase
P00448	PIRSF000349,,superoxide dismutase, Mn/Fe specific
P00509	PIRSF000515,,aspartate aminotransferase/aromatic aminotransferase, tatA type
P00550	PIRSF000685,,PTS system, mannitol-specific EIICBA component
P00562	PIRSF000727,,bifunctional aspartokinase/homoserine dehydrogenase I
P00579	PIRSF000766,,transcription initiation factor sigma 70
P00582	N/A,,N/A
P00634	PIRSF000891,,alkaline phosphatase
P00811	N/A,,N/A
P00864	PIRSF001347,,phosphoenolpyruvate carboxylase
P00909	PIRSF001383,,TrpC-TrpF bifunctional enzyme
P00936	PIRSF001444,,adenylate cyclase
P00946	PIRSF001480,,mannose-6-phosphate isomerase
P00954	PIRSF001518,,tryptophan-tRNA ligase
P00956	PIRSF001524,,isoleucine-tRNA ligase
P00959	PIRSF001528,,methionyl-tRNA synthetase, dimer-forming
P00961	PIRSF001534,,glycine-tRNA ligase beta chain
P00968	PIRSF001590,,carbamoyl-phosphate synthase, large subunit
P02344	PIRSF002095,,DNA-binding protein HU, alpha/beta subunits
P02359	PIRSF002122,,ribosomal protein, S7p/S7a/S5e/organellar S7 types
P02394	N/A,,N/A
P02903	PIRSF002736,,citrate lyase acyl carrier protein
P02925	N/A,,N/A
P02931	PIRSF039161,,outer membrane porin protein
P02968	PIRSF002961,,flagellin
P02974	PIRSF002976,,Tfp pilus assembly protein, major pilin PilA
P03018	PIRSF001312,,helicase II
P03030	N/A,,N/A
P03943	PIRSF000081,,phycocyanin
P03944	PIRSF000081,,phycocyanin
P04036	PIRSF000161,,dihydrodipicolinate reductase
P04042	PIRSF000876,,chemotaxis response regulator methylesterase, CheB type
P04079	PIRSF001585,,GMP synthase (glutamine-hydrolyzing)
P04805	PIRSF001537,,glutamate-tRNA ligase
P04831	PIRSF002926,,alpha/beta-type small acid-soluble spore protein
P04832	PIRSF002926,,alpha/beta-type small acid-soluble spore protein
P04951	PIRSF000816,,3-deoxy-manno-octulosonate cytidylyltransferase
P04969	PIRSF002131,,ribosomal protein, S11p/S11a/S14e/organellar S11 types
P04990	PIRSF038945,,threonine synthase
P05052	PIRSF006330,,HTH-type transcriptional regulator
P05055	PIRSF005499,,polyribonucleotide nucleotidyltransferase
P05429	PIRSF002917,,photosystem II chlorophyll a-binding protein PsbB
P05431	PIRSF002976,,Tfp pilus assembly protein, major pilin PilA
P05459	PIRSF000120,,phosphoglycerate dehydrogenase;;PIRSF500279,,erythronate-4-phosphate dehydrogenase [Parent=PIRSF000120]
P05645	PIRSF000107,,3-isopropylmalate dehydrogenase;;PIRSF500543,,3-isopropylmalate dehydrogenase [Parent=PIRSF000107]
P05651	PIRSF003130,,RecF protein
P05652	PIRSF001511,,type II topoisomerase, subunit B
P05653	PIRSF001512,,type II topoisomerase, subunit A;;PIRSF500085,,DNA gyrase, subunit A [Parent=PIRSF001512]
P05654	PIRSF000416,,ornithine/aspartate carbamoyltransferase;;PIRSF500169,,aspartate carbamoyltransferase [Parent=PIRSF000416]
P05793	N/A,,N/A
P06224	PIRSF000771,,transcription initiation factor sigma KatF
P06533	PIRSF006482,,probable transcription repressor YowR
P06534	PIRSF002937,,sporulation response regulator, Spo0A type transcription factor
P06535	PIRSF002938,,sporulation initiation phosphotransferase B
P06612	PIRSF006048,,DNA topoisomerase I
P06616	PIRSF036798,,GTP-binding protein era
P06628	N/A,,N/A
P06959	PIRSF000433,,pyruvate dehydrogenase complex, dihydrolipoyllysine-residue acetyltransferase component
P06999	PIRSF000535,,1-phosphofructokinase
P07003	PIRSF001370,,thiamine diphosphate-dependent enzyme, acetolactate synthase type;;PIRSF500046,,pyruvate dehydrogenase [cytochrome] (pyruvate oxidase) PoxB [Parent=PIRSF001370]
P07012	PIRSF003056,,protein chain release factor, RF-1/RF-2;;PIRSF500106,,peptide chain release factor 2 [Parent=PIRSF003056]
P07343	PIRSF001395,,fumarate hydratase
P07363	PIRSF002864,,chemotaxis signal transduction histidine kinase CheA
P07515	PIRSF002739,,phosphocarrier protein
P07639	PIRSF001455,,3-dehydroquinate synthase
P07650	PIRSF000478,,thymidine phosphorylase/pyrimidine-nucleoside phosphorylase
P07784	PIRSF002927,,gamma-type small acid-soluble spore protein
P07789	N/A,,N/A
P08065	N/A,,N/A
P08066	PIRSF000176,,fumarate reductase/succinate dehydrogenase (ubiquinone), iron-sulfur protein
P08164	PIRSF002932,,NH(3)-dependent NAD(+) synthetase
P08178	PIRSF001572,,phosphoribosylformylglycinamidine cyclo-ligase
P08192	N/A,,N/A
P08200	PIRSF000107,,3-isopropylmalate dehydrogenase;;PIRSF500541,,isocitrate dehydrogenase (NADP) [Parent=PIRSF000107]
P08312	PIRSF001545,,phenylalanine-tRNA ligase alpha chain
P08400	N/A,,N/A
P08506	N/A,,N/A
P08821	PIRSF002095,,DNA-binding protein HU, alpha/beta subunits
P08838	PIRSF000732,,phosphoenolpyruvate-protein phosphotransferase
P08839	PIRSF000732,,phosphoenolpyruvate-protein phosphotransferase
P08874	<a href='https://proteininformationresource.org/cgi-bin/ipcSF?id=PIRSF037179'>PIRSF037179</a>,,transition state regulatory protein, AbrB type
P08877	PIRSF002739,,phosphocarrier protein
P08997	PIRSF001363,,malate synthase
P09030	N/A,,N/A
P09120	N/A,,N/A
P09124	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
P09152	PIRSF000252,,nitrate reductase alpha chain
P09169	PIRSF001522,,Outer membrane protease, OmpP type
P09190	PIRSF000036,,cytochrome b559, alpha subunit
P09193	N/A,,N/A
P09323	PIRSF000695,,phosphotransferase system N-acetylglucosamine-specific enzyme II
P09339	PIRSF001417,,aconitase A/homoaconitase (aconitate hydratase 1)
P09373	PIRSF000379,,formate acetyltransferase
P09384	PIRSF002864,,chemotaxis signal transduction histidine kinase CheA
P09546	PIRSF000197,,bifunctional proline dehydrogenase/Delta-1-pyrroline-5-carboxylate dehydrogenase (PutA)
P09819	PIRSF000089,,electron transfer flavoprotein, alpha subunit
P09835	PIRSF003168,,signal transduction histidine kinase, sugar-phosphate transport system regulator
P09924	PIRSF001357,,deoxyribose-phosphate aldolase
P0A0D6	PIRSF000699,,phosphotransferase system, lactose/cellobiose-specific component IIA
P0A0E0	N/A,,N/A
P0A0E3	PIRSF002739,,phosphocarrier protein
P0A0Q7	N/A,,N/A
P0A252	N/A,,N/A
P0A2D5	N/A,,N/A
P0A2D9	PIRSF002847,,GlnL regulatory protein II
P0A2W5	PIRSF002734,,acyl/peptidyl carrier protein
P0A2Z0	PIRSF001284,,F-type ATP synthase, subunits b/b'
P0A345	PIRSF003110,,chaperonin GroES
P0A3B4	PIRSF003064,,GTP-binding membrane protein LepA
P0A3E6	N/A,,N/A
P0A3F4	PIRSF039144,,nitrogen regulatory protein P-II
P0A3H5	PIRSF002095,,DNA-binding protein HU, alpha/beta subunits
P0A435	N/A,,N/A
P0A438	PIRSF002739,,phosphocarrier protein
P0A439	PIRSF002739,,phosphocarrier protein
P0A485	N/A,,N/A
P0A491	N/A,,N/A
P0A4D1	PIRSF002121,,ribosomal protein S6p
P0A4D2	PIRSF002121,,ribosomal protein S6p
P0A4P8	N/A,,N/A
P0A4Q8	PIRSF005903,,hypothetical protein MJ1413
P0A4S0	PIRSF016049,,mannonate dehydratase UxuA
P0A5B8	N/A,,N/A
P0A5C0	PIRSF002581,,chaperone HSP70
P0A5S5	PIRSF000668,,serine/threonine-protein kinase YloP
P0A6A3	PIRSF000722,,acetate/propionate kinase
P0A6A5	PIRSF000722,,acetate/propionate kinase
P0A6A8	PIRSF002734,,acyl/peptidyl carrier protein
P0A6B0	PIRSF002734,,acyl/peptidyl carrier protein
P0A6B7	PIRSF005572,,cysteine desulfurase, NifS type
P0A6D7	N/A,,N/A
P0A6E4	PIRSF001579,,argininosuccinate synthase
P0A6F3	PIRSF000538,,keto-sugar kinase
P0A6F4	N/A,,N/A
P0A6F5	PIRSF003112,,chaperonin GroEL
P0A6F7	PIRSF003112,,chaperonin GroEL
P0A6F8	PIRSF003112,,chaperonin GroEL
P0A6F9	PIRSF003110,,chaperonin GroES
P0A6G1	PIRSF003110,,chaperonin GroES
P0A6G2	PIRSF003110,,chaperonin GroES
P0A6G3	PIRSF006161,,uncharacterized protein related to CinA
P0A6G9	N/A,,N/A
P0A6H1	PIRSF002586,,ATP-dependent protease ATP-binding subunit
P0A6H4	PIRSF002586,,ATP-dependent protease ATP-binding subunit;;PIRSF500087,,ATP-dependent Clp protease ATP-binding subunit ClpX [Parent=PIRSF002586]
P0A6H5	PIRSF002586,,ATP-dependent protease ATP-binding subunit
P0A6H6	PIRSF002586,,ATP-dependent protease ATP-binding subunit;;PIRSF500086,,ATP-dependent hsl protease ATP-binding, HslU subunit [Parent=PIRSF002586]
P0A6H7	PIRSF002586,,ATP-dependent protease ATP-binding subunit;;PIRSF500086,,ATP-dependent hsl protease ATP-binding, HslU subunit [Parent=PIRSF002586]
P0A6I0	PIRSF005881,,cytidylate kinase cmk
P0A6J5	PIRSF006010,,sarcosine oxidase
P0A6K6	PIRSF001491,,phosphopentomutase
P0A6L0	PIRSF001357,,deoxyribose-phosphate aldolase
P0A6M8	PIRSF003013,,translation elongation factor G
P0A6N0	PIRSF003013,,translation elongation factor G
P0A6N3	PIRSF003007,,translation elongation factor Tu
P0A6N4	PIRSF005901,,translation elongation factor P
P0A6N6	PIRSF005901,,translation elongation factor P
P0A6N7	PIRSF005901,,translation elongation factor P
P0A6N8	PIRSF005901,,translation elongation factor P
P0A6P1	N/A,,N/A
P0A6P3	N/A,,N/A
P0A6P5	PIRSF006485,,GTP-binding protein EngA
P0A6P7	PIRSF005035,,GTP-binding protein, EngB type
P0A6P9	PIRSF001400,,enolase
P0A6Q1	PIRSF001400,,enolase
P0A6Q2	PIRSF001400,,enolase
P0A6Q3	PIRSF001425,,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
P0A6T1	PIRSF001482,,glucose-6-phosphate isomerase
P0A6T2	PIRSF001482,,glucose-6-phosphate isomerase
P0A6T3	PIRSF000530,,galactokinase
P0A6T5	PIRSF001256,,GTP cyclohydrolase
P0A6T8	PIRSF001256,,GTP cyclohydrolase
P0A6T9	N/A,,N/A
P0A6U2	N/A,,N/A
P0A6V3	PIRSF000815,,glucose-1-phosphate adenylyltransferase
P0A6V4	PIRSF000815,,glucose-1-phosphate adenylyltransferase
P0A6V5	N/A,,N/A
P0A6W7	PIRSF006092,,transcription elongation factor GreA/GreB
P0A6W9	PIRSF001557,,glutamate-cysteine ligase
P0A6X3	N/A,,N/A
P0A6X7	PIRSF002095,,DNA-binding protein HU, alpha/beta subunits
P0A6Y1	PIRSF002095,,DNA-binding protein HU, alpha/beta subunits
P0A6Y3	PIRSF002095,,DNA-binding protein HU, alpha/beta subunits
P0A6Y8	PIRSF002581,,chaperone HSP70;;PIRSF500575,,chaperone protein DnaK [Parent=PIRSF002581]
P0A6Z0	PIRSF002581,,chaperone HSP70
P0A6Z3	PIRSF002583,,heat shock protein, HSP90/HTPG types
P0A6Z5	PIRSF002583,,heat shock protein, HSP90/HTPG types
P0A6Z9	N/A,,N/A
P0A705	PIRSF003012,,translation initiation factor IF-2
P0A706	PIRSF003012,,translation initiation factor IF-2
P0A707	N/A,,N/A
P0A709	N/A,,N/A
P0A717	PIRSF000738,,ribose-phosphate pyrophosphokinase catalytic chain
P0A719	PIRSF000738,,ribose-phosphate pyrophosphokinase catalytic chain
P0A722	PIRSF000456,,acyl-[acyl-carrier-protein]:UDP-N-acetylglucosamine O-acyltransferase
P0A734	PIRSF003094,,cell division topological specificity factor
P0A745	N/A,,N/A
P0A746	N/A,,N/A
P0A759	PIRSF001483,,glucosamine-6-phosphate isomerase
P0A761	PIRSF019459,,PIRSF019459
P0A763	PIRSF000735,,nucleoside diphosphate kinase
P0A764	PIRSF000735,,nucleoside diphosphate kinase
P0A769	PIRSF005717,,divalent metal ion transporter, NRAMP type
P0A771	PIRSF005717,,divalent metal ion transporter, NRAMP type
P0A783	PIRSF003067,,N utilization substance protein B
P0A796	PIRSF000532,,ATP-dependent phosphofructokinase, prokaryotic type
P0A797	PIRSF000532,,ATP-dependent phosphofructokinase, prokaryotic type
P0A799	PIRSF000724,,phosphoglycerate kinase
P0A7A9	PIRSF001264,,inorganic pyrophosphatase
P0A7B0	PIRSF001264,,inorganic pyrophosphatase
P0A7B5	PIRSF000729,,glutamate 5-kinase
P0A7C6	PIRSF006249,,alpha-aspartyl dipeptidase
P0A7C7	PIRSF006249,,alpha-aspartyl dipeptidase
P0A7D4	PIRSF001578,,adenylosuccinate synthase
P0A7D9	N/A,,N/A
P0A7E5	PIRSF001575,,CTP synthase
P0A7E8	PIRSF001575,,CTP synthase
P0A7F3	PIRSF000415,,aspartate carbamoyltransferase regulatory chain
P0A7F8	PIRSF001356,,bacterial adenosylmethionine decarboxylase
P0A7G2	PIRSF004488,,ribosome-binding factor A
P0A7G6	N/A,,N/A
P0A7G8	N/A,,N/A
P0A7G9	N/A,,N/A
P0A7I0	PIRSF003056,,protein chain release factor, RF-1/RF-2;;PIRSF500105,,peptide chain release factor 1 [Parent=PIRSF003056]
P0A7I3	PIRSF003056,,protein chain release factor, RF-1/RF-2;;PIRSF500105,,peptide chain release factor 1 [Parent=PIRSF003056]
P0A7I4	PIRSF037117,,peptide chain release factor 3
P0A7I9	N/A,,N/A
P0A7J3	N/A,,N/A
P0A7K2	N/A,,N/A
P0A7K6	PIRSF002191,,ribosomal protein L19
P0A7K9	PIRSF002191,,ribosomal protein L19
P0A7L0	PIRSF002155,,ribosomal protein, L1p/L1a/L10e/organellar L1 types
P0A7L5	PIRSF002193,,ribosomal protein L20
P0A7L8	N/A,,N/A
P0A7M2	N/A,,N/A
P0A7M6	PIRSF002210,,50S ribosomal protein L29
P0A7M9	N/A,,N/A
P0A7N0	N/A,,N/A
P0A7N1	N/A,,N/A
P0A7N3	N/A,,N/A
P0A7N4	N/A,,N/A
P0A7N5	N/A,,N/A
P0A7N8	N/A,,N/A
P0A7P1	N/A,,N/A
P0A7P4	N/A,,N/A
P0A7R1	N/A,,N/A
P0A7R7	PIRSF002128,,ribosomal protein, S10p/S10a/S20e/organellar S10 types
P0A7R9	PIRSF002131,,ribosomal protein, S11p/S11a/S14e/organellar S11 types
P0A7S2	PIRSF002131,,ribosomal protein, S11p/S11a/S14e/organellar S11 types
P0A7S3	PIRSF002133,,ribosomal protein, S12p/S12a/S23e/organellar S12 types
P0A7S8	PIRSF002133,,ribosomal protein, S12p/S12a/S23e/organellar S12 types
P0A7S9	PIRSF002134,,ribosomal protein, S13p/S13a/S18e/organellar S13 types
P0A7T3	N/A,,N/A
P0A7T5	N/A,,N/A
P0A7T6	N/A,,N/A
P0A7T7	N/A,,N/A
P0A7T9	N/A,,N/A
P0A7U2	N/A,,N/A
P0A7U3	PIRSF002144,,ribosomal protein, S19p/S19a/S15e/organellar S19 types
P0A7U6	PIRSF002144,,ribosomal protein, S19p/S19a/S15e/organellar S19 types
P0A7V0	N/A,,N/A
P0A7V3	N/A,,N/A
P0A7V8	PIRSF002117,,ribosomal protein S4
P0A7W1	PIRSF002120,,ribosomal protein S5p/S5a/S2e/organellar S5
P0A7W6	PIRSF002120,,ribosomal protein S5p/S5a/S2e/organellar S5
P0A7W7	PIRSF002126,,30S ribosomal protein S8
P0A7X3	PIRSF002127,,ribosomal protein, S9p/S9a/S16e/organellar S9 types;;PIRSF500016,,ribosomal protein S9p/S9a types [Parent=PIRSF002127]
P0A7X5	PIRSF002127,,ribosomal protein, S9p/S9a/S16e/organellar S9 types;;PIRSF500016,,ribosomal protein S9p/S9a types [Parent=PIRSF002127]
P0A7Y0	N/A,,N/A
P0A7Z0	PIRSF006575,,ribose-5-phosphate isomerase
P0A7Z2	PIRSF006575,,ribose-5-phosphate isomerase
P0A7Z4	PIRSF000752,,DNA-directed RNA polymerase, alpha subunit
P0A7Z6	PIRSF000752,,DNA-directed RNA polymerase, alpha subunit
P0A7Z9	PIRSF000752,,DNA-directed RNA polymerase, alpha subunit
P0A805	PIRSF003057,,ribosome releasing factor
P0A807	PIRSF003057,,ribosome releasing factor
P0A808	PIRSF003057,,ribosome releasing factor
P0A812	PIRSF003069,,RuvB protein
P0A817	PIRSF000497,,methionine adenosyltransferase
P0A825	PIRSF000412,,serine/glycine hydroxymethyltransferase
P0A827	PIRSF000412,,serine/glycine hydroxymethyltransferase
P0A836	PIRSF001554,,succinyl-CoA synthetase, beta subunit
P0A838	PIRSF001554,,succinyl-CoA synthetase, beta subunit
P0A839	PIRSF001554,,succinyl-CoA synthetase, beta subunit
P0A850	PIRSF003095,,FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
P0A851	PIRSF003095,,FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
P0A853	PIRSF001386,,tryptophanase
P0A858	PIRSF001477,,triose-phosphate isomerase
P0A861	PIRSF001477,,triose-phosphate isomerase
P0A862	PIRSF005476,,thioredoxin peroxidase
P0A867	PIRSF000419,,transaldolase
P0A870	PIRSF000419,,transaldolase
P0A871	PIRSF000419,,transaldolase
P0A872	PIRSF000419,,transaldolase
P0A877	PIRSF001411,,tryptophan synthase, alpha subunit
P0A883	PIRSF003196,,trp repressor
P0A889	PIRSF004891,,ubiquinone/menaquinone biosynthesis methyltransferase ubiE
P0A894	PIRSF005052,,P-loop kinase, YhbJ type
P0A8A0	PIRSF005875,,hypothetical protein MG332
P0A8A6	PIRSF004510,,YdiA protein
P0A8B5	PIRSF004555,,uncharacterized conserved protein
P0A8C4	PIRSF018541,,PIRSF018541
P0A8C6	PIRSF018541,,PIRSF018541
P0A8C7	PIRSF018541,,PIRSF018541
P0A8E1	PIRSF011496,,YcfP protein
P0A8E7	PIRSF004747,,hypothetical protein b0426
P0A8F2	PIRSF000481,,uracil phosphoribosyltransferase upp
P0A8F3	PIRSF000481,,uracil phosphoribosyltransferase upp
P0A8F4	PIRSF006100,,uridine kinase
P0A8F7	PIRSF006100,,uridine kinase
P0A8G6	PIRSF000088,,flavoprotein wrba
P0A8G8	N/A,,N/A
P0A8I4	N/A,,N/A
P0A8J4	PIRSF006209,,YbeD protein
P0A8J7	PIRSF006209,,YbeD protein
P0A8L3	PIRSF001529,,serine-tRNA ligase
P0A8M0	N/A,,N/A
P0A8M3	PIRSF001520,,threonine-tRNA ligase
P0A8M5	PIRSF001520,,threonine-tRNA ligase
P0A8M6	PIRSF028773,,uncharacterized conserved protein
P0A8N3	N/A,,N/A
P0A8N5	PIRSF039101,,lysine--tRNA ligase, class II
P0A8P4	PIRSF029827,,fe(II) trafficking protein YggX
P0A8R3	PIRSF006497,,regulator of ribonuclease activity A
P0A8R6	N/A,,N/A
P0A8T7	N/A,,N/A
P0A8T8	N/A,,N/A
P0A8T9	N/A,,N/A
P0A8U5	PIRSF025558,,PIRSF025558
P0A8U9	PIRSF003191,,Met repressor
P0A8V2	N/A,,N/A
P0A8V4	N/A,,N/A
P0A8V5	N/A,,N/A
P0A8V6	N/A,,N/A
P0A8Y3	PIRSF000895,,phosphoglycolate phosphatase
P0A8Y5	PIRSF004544,,phosphoglycolate phosphatase
P0A8Y7	PIRSF004544,,phosphoglycolate phosphatase
P0A8Z9	N/A,,N/A
P0A904	PIRSF026343,,lipoprotein, NlpB type
P0A909	PIRSF006323,,hypothetical protein b1782
P0A910	N/A,,N/A
P0A911	N/A,,N/A
P0A912	N/A,,N/A
P0A915	N/A,,N/A
P0A916	N/A,,N/A
P0A917	PIRSF004344,,outer membrane protein X
P0A920	N/A,,N/A
P0A929	PIRSF016061,,PIRSF016061
P0A949	N/A,,N/A
P0A953	N/A,,N/A
P0A955	PIRSF001360,,2-dehydro-3-deoxyphosphogluconate aldolase
P0A961	PIRSF004664,,transferases /transferring nitrogenous groups /transaminases
P0A972	PIRSF002599,,cold shock protein, CspA type
P0A978	PIRSF002599,,cold shock protein, CspA type
P0A991	N/A,,N/A
P0A993	PIRSF000904,,fructose-1,6-bisphosphatase/sedoheptulose-1,7-bisphosphatase;;PIRSF500210,,fructose-1,6-bisphosphatase [Parent=PIRSF000904]
P0A995	PIRSF000904,,fructose-1,6-bisphosphatase/sedoheptulose-1,7-bisphosphatase;;PIRSF500210,,fructose-1,6-bisphosphatase [Parent=PIRSF000904]
P0A998	PIRSF002559,,ferritin
P0A9A2	PIRSF002559,,ferritin
P0A9A6	N/A,,N/A
P0A9A8	N/A,,N/A
P0A9A9	PIRSF005804,,ferric uptake regulation protein
P0A9B1	N/A,,N/A
P0A9B2	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
P0A9B4	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
P0A9B5	PIRSF000149,,glyceraldehyde-3-phosphate dehydrogenase
P0A9C0	PIRSF000140,,glycerol-3-phosphate dehydrogenase (aerobic)
P0A9C3	PIRSF005096,,aldose 1-epimerase
P0A9C5	N/A,,N/A
P0A9C7	N/A,,N/A
P0A9C8	N/A,,N/A
P0A9D2	N/A,,N/A
P0A9D8	PIRSF000455,,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
P0A9F5	N/A,,N/A
P0A9G6	PIRSF001362,,isocitrate lyase
P0A9H1	N/A,,N/A
P0A9H9	PIRSF002884,,chemotaxis phosphatase CheZ
P0A9J3	N/A,,N/A
P0A9J6	PIRSF039082,,ribokinase
P0A9J8	PIRSF001500,,bifunctional chorismate mutase/prephenate dehydratase (P-protein)
P0A9K3	N/A,,N/A
P0A9K5	N/A,,N/A
P0A9K6	N/A,,N/A
P0A9K7	N/A,,N/A
P0A9L3	PIRSF019941,,peptidylprolyl isomerase FklB
P0A9M0	PIRSF001174,,Lon protease
P0A9M2	PIRSF000480,,hypoxanthine phosphoribosyltransferase
P0A9M5	PIRSF000488,,xanthine phosphoribosyltransferase
P0A9M6	PIRSF000488,,xanthine phosphoribosyltransferase
P0A9M8	PIRSF006107,,phosphate acetyltransferase, Proteobacteria type
