Protein	Start Site,,End Site,,Family,,Description
B1XJH3	15,,199,,MF_00948,,NusG,,Transcription termination/antitermination protein NusG [nusG]
B1XJI0	7,,137,,MF_00532_B,,Ribosomal_S9,,30S ribosomal protein S9 [rpsI]
B1XJI9	15,,437,,MF_01465,,SecY,,Protein translocase subunit SecY [secY]
B1XJJ0	3,,146,,MF_01341,,Ribosomal_L15,,50S ribosomal protein L15 [rplO]
B1XJJ1	1,,170,,MF_01307_B,,Ribosomal_S5,,30S ribosomal protein S5 [rpsE]
B1XJN0	N/A,,N/A,,N/A,,N/A
B1XJQ7	N/A,,N/A,,N/A,,N/A
B1XJR5	N/A,,N/A,,N/A,,N/A
B1XJV1	N/A,,N/A,,N/A,,N/A
B1XJV4	N/A,,N/A,,N/A,,N/A
B1XJZ4	N/A,,N/A,,N/A,,N/A
B1XK04	5,,342,,MF_00354,,Idi_2,,Isopentenyl-diphosphate delta-isomerase [fni]
B1XK65	N/A,,N/A,,N/A,,N/A
B1XK76	N/A,,N/A,,N/A,,N/A
B1XK81	1,,539,,MF_00600,,CH60,,60 kDa chaperonin [groL]
B1XK88	N/A,,N/A,,N/A,,N/A
B1XKC7	N/A,,N/A,,N/A,,N/A
B1XKC9	2,,623,,MF_01458,,FtsH,,ATP-dependent zinc metalloprotease FtsH [ftsH]
B1XKD0	N/A,,N/A,,N/A,,N/A
B1XKD3	N/A,,N/A,,N/A,,N/A
B1XKD5	N/A,,N/A,,N/A,,N/A
B1XKE5	N/A,,N/A,,N/A,,N/A
B1XKF4	N/A,,N/A,,N/A,,N/A
B1XKJ1	1,,1080,,MF_01210_B,,CPSase_L_chain,,Carbamoyl-phosphate synthase large chain [carB]
B1XKJ2	30,,399,,MF_01201,,Ala_racemase,,Alanine racemase
B1XKK0	N/A,,N/A,,N/A,,N/A
B1XKK6	N/A,,N/A,,N/A,,N/A
B1XKL1	N/A,,N/A,,N/A,,N/A
B1XKL6	N/A,,N/A,,N/A,,N/A
B1XKL7	N/A,,N/A,,N/A,,N/A
B1XKM6	N/A,,N/A,,N/A,,N/A
B1XKQ7	N/A,,N/A,,N/A,,N/A
B1XKR6	N/A,,N/A,,N/A,,N/A
B1XKS1	N/A,,N/A,,N/A,,N/A
B1XKU7	N/A,,N/A,,N/A,,N/A
B1XKV1	1,,185,,MF_00141,,EF_P,,Elongation factor P [efp]
B1XKZ7	10,,329,,MF_02128,,TMP_kinase,,Thiamine-monophosphate kinase [thiL]
B1XL10	N/A,,N/A,,N/A,,N/A
B1XL15	28,,588,,MF_01491,,RNase_J_bact,,Ribonuclease J [rnj]
B1XL17	4,,333,,MF_02121,,ASADH,,Aspartate-semialdehyde dehydrogenase [asd]
B1XL18	1,,435,,MF_00303,,Trigger_factor_Tig,,Trigger factor [tig]
B1XL22	N/A,,N/A,,N/A,,N/A
B1XL29	43,,1120,,MF_00969,,TRCF,,Transcription-repair-coupling factor [mfd]
B1XL42	N/A,,N/A,,N/A,,N/A
B1XL66	N/A,,N/A,,N/A,,N/A
B1XLA1	N/A,,N/A,,N/A,,N/A
B1XLA3	N/A,,N/A,,N/A,,N/A
B1XLC0	1,,985,,MF_01600,,UPF0182,,UPF0182 protein 
B1XLC6	2,,261,,MF_00387,,LpxA,,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase [lpxA]
B1XLD2	N/A,,N/A,,N/A,,N/A
B1XLD5	N/A,,N/A,,N/A,,N/A
B1XLE2	N/A,,N/A,,N/A,,N/A
B1XLF2	N/A,,N/A,,N/A,,N/A
B1XLF8	11,,102,,MF_00274,,DNA_YbaB_EbfC,,Nucleoid-associated protein YbaB [ybaB]
B1XLH5	N/A,,N/A,,N/A,,N/A
B1XLK6	2,,417,,MF_00087,,Glu_tRNA_reductase,,Glutamyl-tRNA reductase [hemA]
B1XLN4	N/A,,N/A,,N/A,,N/A
B1XLP9	N/A,,N/A,,N/A,,N/A
B1XLQ7	N/A,,N/A,,N/A,,N/A
B1XLT0	N/A,,N/A,,N/A,,N/A
B1XLU9	N/A,,N/A,,N/A,,N/A
B1XLZ0	N/A,,N/A,,N/A,,N/A
B1XLZ3	N/A,,N/A,,N/A,,N/A
B1XLZ7	N/A,,N/A,,N/A,,N/A
B1XM06	N/A,,N/A,,N/A,,N/A
B1XM21	N/A,,N/A,,N/A,,N/A
B1XM32	N/A,,N/A,,N/A,,N/A
B1XM44	N/A,,N/A,,N/A,,N/A
B1XM45	26,,872,,MF_00096,,MutS,,DNA mismatch repair protein MutS [mutS]
B1XM81	47,,208,,MF_01401,,MsrA,,Peptide methionine sulfoxide reductase MsrA [msrA]
B1XM95	N/A,,N/A,,N/A,,N/A
B1XMD0	N/A,,N/A,,N/A,,N/A
B1XMF0	N/A,,N/A,,N/A,,N/A
B1XMF3	N/A,,N/A,,N/A,,N/A
B1XMF7	N/A,,N/A,,N/A,,N/A
B1XMG6	N/A,,N/A,,N/A,,N/A
B1XMJ1	N/A,,N/A,,N/A,,N/A
B1XMJ8	N/A,,N/A,,N/A,,N/A
B1XML7	N/A,,N/A,,N/A,,N/A
B1XMR4	N/A,,N/A,,N/A,,N/A
B1XMS4	N/A,,N/A,,N/A,,N/A
B1XMS5	N/A,,N/A,,N/A,,N/A
B1XMT9	N/A,,N/A,,N/A,,N/A
B1XMV9	N/A,,N/A,,N/A,,N/A
B1XMW3	N/A,,N/A,,N/A,,N/A
B1XMW4	N/A,,N/A,,N/A,,N/A
B1XMW7	N/A,,N/A,,N/A,,N/A
B1XMY8	N/A,,N/A,,N/A,,N/A
B1XN08	1,,234,,MF_00063,,CysH,,Phosphoadenosine phosphosulfate reductase [cysH]
B1XN10	N/A,,N/A,,N/A,,N/A
B1XN11	N/A,,N/A,,N/A,,N/A
B1XN19	N/A,,N/A,,N/A,,N/A
B1XN27	N/A,,N/A,,N/A,,N/A
B1XN32	2,,328,,MF_01454,,GTPase_Obg,,GTPase Obg [obg]
B1XN36	10,,341,,MF_02207,,MreB,,Cell shape-determining protein MreB [mreB]
B1XN39	N/A,,N/A,,N/A,,N/A
B1XN41	N/A,,N/A,,N/A,,N/A
B1XN46	5,,195,,MF_00444,,ClpP,,ATP-dependent Clp protease proteolytic subunit [clpP]
B1XN61	N/A,,N/A,,N/A,,N/A
B1XN69	N/A,,N/A,,N/A,,N/A
B1XN71	2,,92,,MF_00434,,Pterin_4_alpha,,Putative pterin-4-alpha-carbinolamine dehydratase
B1XN87	N/A,,N/A,,N/A,,N/A
B1XN94	N/A,,N/A,,N/A,,N/A
B1XN95	N/A,,N/A,,N/A,,N/A
B1XNA5	N/A,,N/A,,N/A,,N/A
B1XNB5	N/A,,N/A,,N/A,,N/A
B1XNH1	N/A,,N/A,,N/A,,N/A
B1XNH3	3,,687,,MF_00054_B,,EF_G_EF_2,,Elongation factor G [fusA]
B1XNI7	N/A,,N/A,,N/A,,N/A
B1XNJ2	N/A,,N/A,,N/A,,N/A
B1XNM4	N/A,,N/A,,N/A,,N/A
B1XNP2	N/A,,N/A,,N/A,,N/A
B1XNQ8	N/A,,N/A,,N/A,,N/A
B1XNR2	N/A,,N/A,,N/A,,N/A
B1XNS5	10,,306,,MF_00260,,Porphobil_deam,,Porphobilinogen deaminase [hemC]
B1XNV2	N/A,,N/A,,N/A,,N/A
B1XNY5	N/A,,N/A,,N/A,,N/A
B1XNY8	N/A,,N/A,,N/A,,N/A
B1XP01	N/A,,N/A,,N/A,,N/A
B1XP17	N/A,,N/A,,N/A,,N/A
B1XP36	N/A,,N/A,,N/A,,N/A
B1XP38	N/A,,N/A,,N/A,,N/A
B1XP53	1,,597,,MF_01569,,Pro_tRNA_synth_type1,,Proline--tRNA ligase [proS]
B1XP61	N/A,,N/A,,N/A,,N/A
B1XP71	N/A,,N/A,,N/A,,N/A
B1XP78	N/A,,N/A,,N/A,,N/A
B1XP79	N/A,,N/A,,N/A,,N/A
B1XP80	N/A,,N/A,,N/A,,N/A
B1XP90	4,,850,,MF_00049_B,,Leu_tRNA_synth,,Leucine--tRNA ligase [leuS]
B1XP95	N/A,,N/A,,N/A,,N/A
B1XPA6	2,,410,,MF_01074,,LarC,,Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein [larC]
B1XPA7	N/A,,N/A,,N/A,,N/A
B1XPB6	N/A,,N/A,,N/A,,N/A
B1XPC5	N/A,,N/A,,N/A,,N/A
B1XPD4	N/A,,N/A,,N/A,,N/A
B1XPE2	7,,277,,MF_00060,,SurE,,5'/3'-nucleotidase SurE [surE]
B1XPE7	N/A,,N/A,,N/A,,N/A
B1XPF4	N/A,,N/A,,N/A,,N/A
B1XPG7	55,,396,,MF_00191,,IspH,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase [ispH]
B1XPK2	N/A,,N/A,,N/A,,N/A
B1XPK3	1,,364,,MF_00944,,YchF_OLA1_ATPase,,Obg-like ATPase 1 [OLA1]
B1XPP4	N/A,,N/A,,N/A,,N/A
B1XPU9	N/A,,N/A,,N/A,,N/A
B1XPV1	7,,64,,MF_00294,,Ribosomal_L33,,50S ribosomal protein L33 [rpmG]
B1XPX6	N/A,,N/A,,N/A,,N/A
B1XPX8	6,,585,,MF_00123,,Arg_tRNA_synth,,Arginine--tRNA ligase [argS]
B1XQ64	N/A,,N/A,,N/A,,N/A
B1XQ68	N/A,,N/A,,N/A,,N/A
B1XQ75	N/A,,N/A,,N/A,,N/A
B1XQ85	N/A,,N/A,,N/A,,N/A
B1XQ92	N/A,,N/A,,N/A,,N/A
B1XQA7	N/A,,N/A,,N/A,,N/A
B1XQB2	2,,550,,MF_00149,,DNA_mis_repair,,DNA mismatch repair protein MutL [mutL]
B1XQE5	N/A,,N/A,,N/A,,N/A
B1XQF1	N/A,,N/A,,N/A,,N/A
B1XQF2	N/A,,N/A,,N/A,,N/A
B1XQF6	1,,374,,MF_01152,,DnaJ,,Chaperone protein DnaJ [dnaJ]
B1XQG3	N/A,,N/A,,N/A,,N/A
B1XQG5	N/A,,N/A,,N/A,,N/A
B1XQG8	N/A,,N/A,,N/A,,N/A
B1XQJ2	N/A,,N/A,,N/A,,N/A
B1XQL7	N/A,,N/A,,N/A,,N/A
B1XQM2	N/A,,N/A,,N/A,,N/A
B1XQP1	N/A,,N/A,,N/A,,N/A
B1XQQ7	N/A,,N/A,,N/A,,N/A
B1XQQ9	N/A,,N/A,,N/A,,N/A
B1XQR5	N/A,,N/A,,N/A,,N/A
B1XQS4	N/A,,N/A,,N/A,,N/A
B1XQV0	2,,311,,MF_01470,,Cas1,,CRISPR-associated endonuclease Cas1 [cas1]
B1XQW1	N/A,,N/A,,N/A,,N/A
B1XQX2	N/A,,N/A,,N/A,,N/A
B1XQX5	N/A,,N/A,,N/A,,N/A
B1XQZ6	N/A,,N/A,,N/A,,N/A
B1XR00	N/A,,N/A,,N/A,,N/A
B1XR14	N/A,,N/A,,N/A,,N/A
B1XR17	N/A,,N/A,,N/A,,N/A
B1XR21	N/A,,N/A,,N/A,,N/A
B1XR22	N/A,,N/A,,N/A,,N/A
B1XR35	N/A,,N/A,,N/A,,N/A
B1XR40	N/A,,N/A,,N/A,,N/A
B1XR47	N/A,,N/A,,N/A,,N/A
B1XR72	N/A,,N/A,,N/A,,N/A
B1XR86	N/A,,N/A,,N/A,,N/A
B1XRA0	N/A,,N/A,,N/A,,N/A
B1XRC9	N/A,,N/A,,N/A,,N/A
B1XRD7	N/A,,N/A,,N/A,,N/A
B1XRI4	N/A,,N/A,,N/A,,N/A
B1XRL8	N/A,,N/A,,N/A,,N/A
B1XRQ5	N/A,,N/A,,N/A,,N/A
B1XRQ6	N/A,,N/A,,N/A,,N/A
B2S753	N/A,,N/A,,N/A,,N/A
B2SB45	N/A,,N/A,,N/A,,N/A
B3GZ21	1,,123,,MF_01367,,Ribosomal_L14,,50S ribosomal protein L14 [rplN]
B3KLX4	N/A,,N/A,,N/A,,N/A
B5F6V5	1,,103,,MF_01363,,Ribosomal_L21,,50S ribosomal protein L21 [rplU]
B5XYF7	3,,162,,MF_00362,,Ribosomal_L10,,50S ribosomal protein L10 [rplJ]
B5XZ79	3,,505,,MF_00229,,His_ammonia_lyase,,Histidine ammonia-lyase [hutH]
B5Y275	1,,407,,MF_00740,,Phosphopentomut,,Phosphopentomutase [deoB]
B5Y2E4	N/A,,N/A,,N/A,,N/A
B7LRJ8	1,,130,,MF_00532_B,,Ribosomal_S9,,30S ribosomal protein S9 [rpsI]
B7MDM9	16,,538,,MF_00453,,PEPCK_ATP,,Phosphoenolpyruvate carboxykinase (ATP) [pckA]
B7SCE5	N/A,,N/A,,N/A,,N/A
B7UM99	N/A,,N/A,,N/A,,N/A
B7UR12	2,,235,,MF_01627,,Pur_nucleosid_phosp,,Purine nucleoside phosphorylase DeoD-type [deoD]
B8DE07	1,,85,,MF_01507,,UPF0297,,UPF0297 protein 
B8GZM2	N/A,,N/A,,N/A,,N/A
C0H3R1	N/A,,N/A,,N/A,,N/A
C0H3T5	N/A,,N/A,,N/A,,N/A
C0H3T6	N/A,,N/A,,N/A,,N/A
C0H3V2	N/A,,N/A,,N/A,,N/A
C0H423	N/A,,N/A,,N/A,,N/A
C0H440	N/A,,N/A,,N/A,,N/A
C0H445	N/A,,N/A,,N/A,,N/A
C0H461	N/A,,N/A,,N/A,,N/A
C0LZQ0	N/A,,N/A,,N/A,,N/A
C0SP85	N/A,,N/A,,N/A,,N/A
C0SP93	3,,281,,MF_01395,,AcetylCoA_CT_beta,,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic [accD]
C0SPB6	2,,107,,MF_00984,,SSB,,Single-stranded DNA-binding protein
C0SPB8	N/A,,N/A,,N/A,,N/A
C1KVC0	1,,605,,MF_00332,,DnaK,,Chaperone protein DnaK [dnaK]
C1KW86	2,,114,,MF_00402,,Ribosomal_L19,,50S ribosomal protein L19 [rplS]
C1KX21	1,,541,,MF_00600,,CH60,,60 kDa chaperonin [groL]
C1KYE1	1,,105,,MF_00338,,UPF0145,,UPF0145 protein YbjQ [ybjQ]
C1KYI2	3,,161,,MF_00362,,Ribosomal_L10,,50S ribosomal protein L10 [rplJ]
C1KYU1	2,,141,,MF_00406,,FabZ,,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ [fabZ]
C1KZK7	6,,688,,MF_00054_B,,EF_G_EF_2,,Elongation factor G [fusA]
C3W947	N/A,,N/A,,N/A,,N/A
C5BGM2	1,,272,,MF_01320_B,,Ribosomal_L2,,50S ribosomal protein L2 [rplB]
C8T007	1,,250,,MF_01208,,PyrE,,Orotate phosphoribosyltransferase [pyrE]
C8UMQ9	1,,80,,MF_00502,,Ribosomal_L31_2,,50S ribosomal protein L31 type B [rpmE2]
D0WT66	N/A,,N/A,,N/A,,N/A
D0WX67	1,,127,,MF_01519,,UPF0325,,UPF0325 protein YaeH [yaeH]
D0WZ14	N/A,,N/A,,N/A,,N/A
D0X0H0	N/A,,N/A,,N/A,,N/A
D0X3A8	N/A,,N/A,,N/A,,N/A
D0X4G1	3,,348,,MF_00462,,RsxD_RnfD,,Ion-translocating oxidoreductase complex subunit D [rsxD]
D0ZV89	N/A,,N/A,,N/A,,N/A
D2BKU3	N/A,,N/A,,N/A,,N/A
D2BKU8	N/A,,N/A,,N/A,,N/A
D2BKY7	N/A,,N/A,,N/A,,N/A
D2BKZ2	N/A,,N/A,,N/A,,N/A
D2BLI2	N/A,,N/A,,N/A,,N/A
D2BM73	N/A,,N/A,,N/A,,N/A
D2BMX4	N/A,,N/A,,N/A,,N/A
D2BNL6	N/A,,N/A,,N/A,,N/A
D2BNM4	N/A,,N/A,,N/A,,N/A
D2BNR6	N/A,,N/A,,N/A,,N/A
D2BP55	N/A,,N/A,,N/A,,N/A
D2BQ68	N/A,,N/A,,N/A,,N/A
D2BRC3	N/A,,N/A,,N/A,,N/A
D4GUJ7	5,,405,,MF_00553,,PAN,,Proteasome-activating nucleotidase [pan]
D4GYZ1	45,,238,,MF_02113_A,,Proteasome_B,,Proteasome subunit beta [prcB]
D4H071	4,,185,,MF_00408,,TATA_bind_prot_arch,,TATA-box-binding protein [tbp]
D5E6P6	N/A,,N/A,,N/A,,N/A
D5E6P9	5,,161,,MF_00209,,Inorganic_PPase,,Inorganic pyrophosphatase [ppa]
D5E6Y5	N/A,,N/A,,N/A,,N/A
D5E7U0	2,,135,,MF_00232,,eIF_2_beta,,Translation initiation factor 2 subunit beta [eif2b]
D5E895	N/A,,N/A,,N/A,,N/A
D5E8U2	N/A,,N/A,,N/A,,N/A
D5E9H2	N/A,,N/A,,N/A,,N/A
D5E9V6	N/A,,N/A,,N/A,,N/A
D5E9V9	N/A,,N/A,,N/A,,N/A
D5E9Y3	N/A,,N/A,,N/A,,N/A
D5EAE2	1,,1135,,MF_00324,,DNApol_II_L_arch,,DNA polymerase II large subunit [polC]
D5EB50	N/A,,N/A,,N/A,,N/A
D5EBE9	N/A,,N/A,,N/A,,N/A
D5EBU5	88,,340,,MF_01922,,TYW2_archaea,,tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase [taw2]
D5EBX8	N/A,,N/A,,N/A,,N/A
E2JA29	N/A,,N/A,,N/A,,N/A
F2Z5W8	N/A,,N/A,,N/A,,N/A
F2Z5Y7	N/A,,N/A,,N/A,,N/A
F2Z5Z2	N/A,,N/A,,N/A,,N/A
F2Z692	N/A,,N/A,,N/A,,N/A
F2Z698	N/A,,N/A,,N/A,,N/A
F2Z6D2	N/A,,N/A,,N/A,,N/A
F2Z6F6	N/A,,N/A,,N/A,,N/A
F2Z6G3	N/A,,N/A,,N/A,,N/A
F6KV61	N/A,,N/A,,N/A,,N/A
F6KV62	N/A,,N/A,,N/A,,N/A
G2K046	1,,605,,MF_00332,,DnaK,,Chaperone protein DnaK [dnaK]
G2K047	2,,191,,MF_01151,,GrpE,,Protein GrpE [grpE]
G3XD28	N/A,,N/A,,N/A,,N/A
G3XD31	N/A,,N/A,,N/A,,N/A
G3XD71	N/A,,N/A,,N/A,,N/A
G5EB01	N/A,,N/A,,N/A,,N/A
I6WXK4	N/A,,N/A,,N/A,,N/A
I6WYU2	N/A,,N/A,,N/A,,N/A
I6WZ58	N/A,,N/A,,N/A,,N/A
I6WZG6	N/A,,N/A,,N/A,,N/A
I6WZI4	N/A,,N/A,,N/A,,N/A
I6WZK7	N/A,,N/A,,N/A,,N/A
I6WZM9	N/A,,N/A,,N/A,,N/A
I6WZS4	N/A,,N/A,,N/A,,N/A
I6X540	N/A,,N/A,,N/A,,N/A
I6X5C9	N/A,,N/A,,N/A,,N/A
I6X5I7	N/A,,N/A,,N/A,,N/A
I6X5T4	N/A,,N/A,,N/A,,N/A
I6X6H8	N/A,,N/A,,N/A,,N/A
I6X7G4	N/A,,N/A,,N/A,,N/A
I6X7W8	N/A,,N/A,,N/A,,N/A
I6X827	N/A,,N/A,,N/A,,N/A
I6X8D2	N/A,,N/A,,N/A,,N/A
I6X961	N/A,,N/A,,N/A,,N/A
I6XF31	N/A,,N/A,,N/A,,N/A
I6XF52	N/A,,N/A,,N/A,,N/A
I6XF60	N/A,,N/A,,N/A,,N/A
I6XHG6	N/A,,N/A,,N/A,,N/A
I6XVZ6	N/A,,N/A,,N/A,,N/A
I6XW38	N/A,,N/A,,N/A,,N/A
I6XWB9	N/A,,N/A,,N/A,,N/A
I6XZC4	N/A,,N/A,,N/A,,N/A
I6Y1H7	N/A,,N/A,,N/A,,N/A
I6Y231	N/A,,N/A,,N/A,,N/A
I6Y242	N/A,,N/A,,N/A,,N/A
I6Y2E2	N/A,,N/A,,N/A,,N/A
I6Y2G3	N/A,,N/A,,N/A,,N/A
I6Y2I9	N/A,,N/A,,N/A,,N/A
I6Y3S9	N/A,,N/A,,N/A,,N/A
I6Y3V3	N/A,,N/A,,N/A,,N/A
I6Y4D2	N/A,,N/A,,N/A,,N/A
I6Y4U9	N/A,,N/A,,N/A,,N/A
I6Y4V2	N/A,,N/A,,N/A,,N/A
I6Y748	N/A,,N/A,,N/A,,N/A
I6Y778	N/A,,N/A,,N/A,,N/A
I6Y7V6	N/A,,N/A,,N/A,,N/A
I6Y897	N/A,,N/A,,N/A,,N/A
I6Y9K2	N/A,,N/A,,N/A,,N/A
I6Y9Q3	N/A,,N/A,,N/A,,N/A
I6YA03	N/A,,N/A,,N/A,,N/A
I6YA17	N/A,,N/A,,N/A,,N/A
I6YA29	N/A,,N/A,,N/A,,N/A
I6YAV3	N/A,,N/A,,N/A,,N/A
I6YC91	N/A,,N/A,,N/A,,N/A
I6YDN6	N/A,,N/A,,N/A,,N/A
I6YF40	N/A,,N/A,,N/A,,N/A
I6YG87	N/A,,N/A,,N/A,,N/A
I6YHB0	N/A,,N/A,,N/A,,N/A
I7FGY5	N/A,,N/A,,N/A,,N/A
J9R0U7	N/A,,N/A,,N/A,,N/A
K1VPX5	N/A,,N/A,,N/A,,N/A
K1VZL1	N/A,,N/A,,N/A,,N/A
K1W040	N/A,,N/A,,N/A,,N/A
K1W0W3	N/A,,N/A,,N/A,,N/A
K1W2U9	92,,436,,MF_01820,,GTPase_RsgA,,Small ribosomal subunit biogenesis GTPase RsgA [rsgA]
K1W772	N/A,,N/A,,N/A,,N/A
K1W7L7	3,,190,,MF_01460,,Chrphore_lyase_CpxT,,Chromophore lyase CpcT/CpeT [cpcT]
K1WFA9	N/A,,N/A,,N/A,,N/A
K1WPM3	N/A,,N/A,,N/A,,N/A
K1WR40	N/A,,N/A,,N/A,,N/A
K1WSH3	1,,189,,MF_00839,,HPF,,Ribosome hibernation promoting factor [hpf]
K1X2U2	N/A,,N/A,,N/A,,N/A
K1XE41	N/A,,N/A,,N/A,,N/A
K1XG38	N/A,,N/A,,N/A,,N/A
K4PDN9	1,,617,,MF_00332,,DnaK,,Chaperone protein DnaK [dnaK]
L0T2Z1	N/A,,N/A,,N/A,,N/A
L0T905	N/A,,N/A,,N/A,,N/A
L0TFC2	N/A,,N/A,,N/A,,N/A
L7N653	N/A,,N/A,,N/A,,N/A
L7N657	N/A,,N/A,,N/A,,N/A
L7N663	N/A,,N/A,,N/A,,N/A
L7N664	N/A,,N/A,,N/A,,N/A
L7N668	N/A,,N/A,,N/A,,N/A
L7N673	N/A,,N/A,,N/A,,N/A
L7N675	N/A,,N/A,,N/A,,N/A
L7N686	N/A,,N/A,,N/A,,N/A
L7N690	N/A,,N/A,,N/A,,N/A
L7N6A4	N/A,,N/A,,N/A,,N/A
L7N6B0	N/A,,N/A,,N/A,,N/A
L9UQ37	4,,434,,MF_00553,,PAN,,Proteasome-activating nucleotidase [pan]
N1UKI7	N/A,,N/A,,N/A,,N/A
O05223	N/A,,N/A,,N/A,,N/A
O05236	N/A,,N/A,,N/A,,N/A
O05251	N/A,,N/A,,N/A,,N/A
O05268	7,,328,,MF_01685,,FENR2,,Ferredoxin--NADP reductase
O05310	N/A,,N/A,,N/A,,N/A
O05312	N/A,,N/A,,N/A,,N/A
O05389	N/A,,N/A,,N/A,,N/A
O05410	N/A,,N/A,,N/A,,N/A
O05436	N/A,,N/A,,N/A,,N/A
O05442	N/A,,N/A,,N/A,,N/A
O05450	N/A,,N/A,,N/A,,N/A
O05456	N/A,,N/A,,N/A,,N/A
O05495	N/A,,N/A,,N/A,,N/A
O05518	7,,338,,MF_01445,,TsaD,,tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial [OSGEPL1]
O05519	N/A,,N/A,,N/A,,N/A
O05520	2,,160,,MF_01224_B,,MoaC,,Cyclic pyranopterin monophosphate synthase [moaC]
O05521	3,,209,,MF_01131,,Rex,,Redox-sensing transcriptional repressor Rex [rex]
O05582	N/A,,N/A,,N/A,,N/A
O05634	2,,240,,MF_00485,,Ribosomal_S4e,,30S ribosomal protein S4e [rps4e]
O05640	5,,191,,MF_01337_A,,Ribosomal_L18,,50S ribosomal protein L18 [rplR]
O05641	6,,206,,MF_01307_A,,Ribosomal_S5,,30S ribosomal protein S5 [rpsE]
O05771	N/A,,N/A,,N/A,,N/A
O05773	N/A,,N/A,,N/A,,N/A
O05777	N/A,,N/A,,N/A,,N/A
O05780	N/A,,N/A,,N/A,,N/A
O05823	N/A,,N/A,,N/A,,N/A
O05828	N/A,,N/A,,N/A,,N/A
O05853	N/A,,N/A,,N/A,,N/A
O05855	N/A,,N/A,,N/A,,N/A
O05877	N/A,,N/A,,N/A,,N/A
O05981	2,,85,,MF_00349,,Ribosomal_L34e,,50S ribosomal protein L34e [rpl34e]
O05982	1,,175,,MF_00239,,Cytidyl_kinase_type2,,Cytidylate kinase [cmk]
O06137	N/A,,N/A,,N/A,,N/A
O06159	N/A,,N/A,,N/A,,N/A
O06170	N/A,,N/A,,N/A,,N/A
O06194	N/A,,N/A,,N/A,,N/A
O06218	N/A,,N/A,,N/A,,N/A
O06243	N/A,,N/A,,N/A,,N/A
O06263	N/A,,N/A,,N/A,,N/A
O06278	N/A,,N/A,,N/A,,N/A
O06311	N/A,,N/A,,N/A,,N/A
O06396	N/A,,N/A,,N/A,,N/A
O06403	N/A,,N/A,,N/A,,N/A
O06404	N/A,,N/A,,N/A,,N/A
O06457	10,,344,,MF_01928,,PurK,,N5-carboxyaminoimidazole ribonucleotide synthase [purK]
O06476	N/A,,N/A,,N/A,,N/A
O06491	11,,477,,MF_00120,,GatA,,Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial [QRSL1]
O06492	3,,96,,MF_00122,,GatC,,Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial [GATC]
O06538	N/A,,N/A,,N/A,,N/A
O06597	N/A,,N/A,,N/A,,N/A
O06604	N/A,,N/A,,N/A,,N/A
O06611	N/A,,N/A,,N/A,,N/A
O06614	N/A,,N/A,,N/A,,N/A
O06802	N/A,,N/A,,N/A,,N/A
O06807	N/A,,N/A,,N/A,,N/A
O06825	N/A,,N/A,,N/A,,N/A
O06925	1,,108,,MF_00710,,Malonate_deCO2ase_dsu,,Malonate decarboxylase acyl carrier protein [mdcC]
O06974	3,,317,,MF_00973,,Gluconeogen_factor,,Gluconeogenesis factor
O06976	N/A,,N/A,,N/A,,N/A
O07012	N/A,,N/A,,N/A,,N/A
O07021	1,,475,,MF_02103,,LutB,,Lactate utilization protein B [lutB]
O07180	N/A,,N/A,,N/A,,N/A
O07181	N/A,,N/A,,N/A,,N/A
O07196	N/A,,N/A,,N/A,,N/A
O07198	N/A,,N/A,,N/A,,N/A
O07227	N/A,,N/A,,N/A,,N/A
O07235	N/A,,N/A,,N/A,,N/A
O07239	N/A,,N/A,,N/A,,N/A
O07255	N/A,,N/A,,N/A,,N/A
O07406	N/A,,N/A,,N/A,,N/A
O07411	N/A,,N/A,,N/A,,N/A
O07416	N/A,,N/A,,N/A,,N/A
O07419	N/A,,N/A,,N/A,,N/A
O07422	N/A,,N/A,,N/A,,N/A
O07521	1,,313,,MF_01427,,3_5_Exoribonuc_YhaM,,3'-5' exoribonuclease YhaM [yhaM]
O07542	2,,113,,MF_01526,,UPF0342,,UPF0342 protein 
O07584	N/A,,N/A,,N/A,,N/A
O07596	N/A,,N/A,,N/A,,N/A
O07634	N/A,,N/A,,N/A,,N/A
O07636	N/A,,N/A,,N/A,,N/A
O07678	6,,328,,MF_00735,,Methyltr_PrmA,,Ribosomal protein L11 methyltransferase [prmA]
O07717	N/A,,N/A,,N/A,,N/A
O07720	N/A,,N/A,,N/A,,N/A
O07728	N/A,,N/A,,N/A,,N/A
O07806	N/A,,N/A,,N/A,,N/A
O07809	N/A,,N/A,,N/A,,N/A
O07853	1,,439,,MF_00306,,SRP54,,Signal recognition particle 54 kDa protein [srp54]
O08309	N/A,,N/A,,N/A,,N/A
