Protein	Entry..Description
P0A719	PS00114,,Phosphoribosyl pyrophosphate synthase signature;;PS00103,,Purine/pyrimidine phosphoribosyl transferases signature
P0A722	PS00101,,Hexapeptide-repeat containing-transferases signature
P0A734	
P0A745	
P0A746	PS51790,,Methionine-R-sulfoxide reductase (MsrB) domain profile
P0A759	PS01161,,Glucosamine/galactosamine-6-phosphate isomerases signature
P0A761	
P0A763	PS00469,,Nucleoside diphosphate kinases active site
P0A764	PS00469,,Nucleoside diphosphate kinases active site
P0A769	
P0A771	
P0A783	
P0A796	PS00433,,Phosphofructokinase signature
P0A797	PS00433,,Phosphofructokinase signature
P0A799	PS00111,,Phosphoglycerate kinase signature
P0A7A9	PS00387,,Inorganic pyrophosphatase signature
P0A7B0	PS00387,,Inorganic pyrophosphatase signature
P0A7B5	PS50890,,PUA domain profile;;PS00902,,Glutamate 5-kinase signature
P0A7C6	
P0A7C7	
P0A7D4	PS01266,,Adenylosuccinate synthetase GTP-binding site;;PS00513,,Adenylosuccinate synthetase active site
P0A7D9	PS01058,,SAICAR synthetase signature 2;;PS01057,,SAICAR synthetase signature 1
P0A7E5	PS51273,,Glutamine amidotransferase type 1 domain profile
P0A7E8	PS51273,,Glutamine amidotransferase type 1 domain profile
P0A7F3	
P0A7F8	
P0A7G2	PS01319,,Ribosome-binding factor A signature
P0A7G6	PS50163,,RecA family profile 2;;PS50162,,RecA family profile 1;;PS00321,,recA signature
P0A7G8	PS50163,,RecA family profile 2;;PS50162,,RecA family profile 1;;PS00321,,recA signature
P0A7G9	PS50163,,RecA family profile 2;;PS50162,,RecA family profile 1;;PS00321,,recA signature
P0A7I0	PS00745,,Prokaryotic-type class I peptide chain release factors signature
P0A7I3	PS00745,,Prokaryotic-type class I peptide chain release factors signature
P0A7I4	PS51722,,Translational (tr)-type guanine nucleotide-binding (G) domain profile;;PS00301,,Translational (tr)-type guanine nucleotide-binding (G) domain signature
P0A7I9	
P0A7J3	PS01109,,Ribosomal protein L10 signature
P0A7K2	
P0A7K6	PS01015,,Ribosomal protein L19 signature
P0A7K9	PS01015,,Ribosomal protein L19 signature
P0A7L0	PS01199,,Ribosomal protein L1 signature
P0A7L5	PS00937,,Ribosomal protein L20 signature
P0A7L8	PS00831,,Ribosomal protein L27 signature
P0A7M2	
P0A7M6	PS00579,,Ribosomal protein L29 signature
P0A7M9	PS01143,,Ribosomal protein L31 signature
P0A7N0	PS01143,,Ribosomal protein L31 signature
P0A7N1	PS01143,,Ribosomal protein L31 signature
P0A7N3	PS01143,,Ribosomal protein L31 signature
P0A7N4	
P0A7N5	
P0A7N8	
P0A7P1	PS00582,,Ribosomal protein L33 signature
P0A7P4	PS00582,,Ribosomal protein L33 signature
P0A7R1	PS00651,,Ribosomal protein L9 signature
P0A7R7	PS00361,,Ribosomal protein S10 signature
P0A7R9	PS00054,,Ribosomal protein S11 signature
P0A7S2	PS00054,,Ribosomal protein S11 signature
P0A7S3	PS00055,,Ribosomal protein S12 signature
P0A7S8	PS00055,,Ribosomal protein S12 signature
P0A7S9	PS50159,,Ribosomal protein S13 family profile;;PS00646,,Ribosomal protein S13 signature;;PS00061,,Short-chain dehydrogenases/reductases family signature
P0A7T3	PS00732,,Ribosomal protein S16 signature
P0A7T5	PS00732,,Ribosomal protein S16 signature
P0A7T6	PS00732,,Ribosomal protein S16 signature
P0A7T7	PS00057,,Ribosomal protein S18 signature
P0A7T9	PS00057,,Ribosomal protein S18 signature
P0A7U2	PS00057,,Ribosomal protein S18 signature
P0A7U3	PS00323,,Ribosomal protein S19 signature
P0A7U6	PS00323,,Ribosomal protein S19 signature
P0A7V0	PS00963,,Ribosomal protein S2 signature 2;;PS00962,,Ribosomal protein S2 signature 1
P0A7V3	PS50823,,Type-2 KH domain profile;;PS00548,,Ribosomal protein S3 signature
P0A7V8	PS50889,,S4 RNA-binding domain profile;;PS00632,,Ribosomal protein S4 signature
P0A7W1	PS50881,,S5 double stranded RNA-binding domain profile;;PS00585,,Ribosomal protein S5 signature
P0A7W6	PS50881,,S5 double stranded RNA-binding domain profile;;PS00585,,Ribosomal protein S5 signature
P0A7W7	PS00053,,Ribosomal protein S8 signature
P0A7X3	PS00360,,Ribosomal protein S9 signature
P0A7X5	PS00360,,Ribosomal protein S9 signature
P0A7Y0	PS50142,,Ribonuclease III family domain profile;;PS50137,,Double stranded RNA-binding domain (dsRBD) profile;;PS00517,,Ribonuclease III family signature
P0A7Z0	
P0A7Z2	
P0A7Z4	
P0A7Z6	
P0A7Z9	
P0A805	
P0A807	
P0A808	
P0A812	
P0A817	PS00377,,S-adenosylmethionine synthase signature 2;;PS00376,,S-adenosylmethionine synthase signature 1
P0A825	PS00096,,Serine hydroxymethyltransferase pyridoxal-phosphate attachment site
P0A827	PS00096,,Serine hydroxymethyltransferase pyridoxal-phosphate attachment site
P0A836	PS50975,,ATP-grasp fold profile;;PS01217,,ATP-citrate lyase / succinyl-CoA ligases family signature 3
P0A838	PS50975,,ATP-grasp fold profile;;PS01217,,ATP-citrate lyase / succinyl-CoA ligases family signature 3
P0A839	PS50975,,ATP-grasp fold profile;;PS01217,,ATP-citrate lyase / succinyl-CoA ligases family signature 3
P0A850	PS50059,,FKBP-type peptidyl-prolyl cis-trans isomerase domain profile
P0A851	PS50059,,FKBP-type peptidyl-prolyl cis-trans isomerase domain profile
P0A853	PS00853,,Beta-eliminating lyases pyridoxal-phosphate attachment site
P0A858	PS51440,,Triosephosphate isomerase (TIM) family profile;;PS00171,,Triosephosphate isomerase active site
P0A861	PS51440,,Triosephosphate isomerase (TIM) family profile;;PS00171,,Triosephosphate isomerase active site
P0A862	PS51352,,Thioredoxin domain profile;;PS01265,,Tpx family signature
P0A867	PS01054,,Transaldolase signature 1;;PS00958,,Transaldolase active site
P0A870	PS01054,,Transaldolase signature 1;;PS00958,,Transaldolase active site
P0A871	PS01054,,Transaldolase signature 1;;PS00958,,Transaldolase active site
P0A872	PS01054,,Transaldolase signature 1;;PS00958,,Transaldolase active site
P0A877	PS00167,,Tryptophan synthase alpha chain signature
P0A883	
P0A889	PS51608,,UbiE family SAM-binding methyltransferase profile;;PS01184,,ubiE/COQ5 methyltransferase family signature 2;;PS01183,,ubiE/COQ5 methyltransferase family signature 1
P0A894	
P0A8A0	
P0A8A6	
P0A8B5	
P0A8C4	
P0A8C6	
P0A8C7	
P0A8E1	
P0A8E7	
P0A8F2	
P0A8F3	
P0A8F4	PS00430,,TonB-dependent receptor proteins signature 1
P0A8F7	PS00430,,TonB-dependent receptor proteins signature 1
P0A8G6	PS50902,,Flavodoxin-like domain profile
P0A8G8	PS50902,,Flavodoxin-like domain profile
P0A8I4	
P0A8J4	
P0A8J7	
P0A8L3	PS50862,,Aminoacyl-transfer RNA synthetases class-II family profile
P0A8M0	PS50862,,Aminoacyl-transfer RNA synthetases class-II family profile
P0A8M3	PS51880,,TGS domain profile;;PS50862,,Aminoacyl-transfer RNA synthetases class-II family profile
P0A8M5	PS51880,,TGS domain profile;;PS50862,,Aminoacyl-transfer RNA synthetases class-II family profile
P0A8M6	
P0A8N3	PS50862,,Aminoacyl-transfer RNA synthetases class-II family profile
P0A8N5	PS50862,,Aminoacyl-transfer RNA synthetases class-II family profile
P0A8P4	
P0A8R3	
P0A8R6	
P0A8T7	
P0A8T8	
P0A8T9	
P0A8U5	
P0A8U9	
P0A8V2	PS01166,,RNA polymerases beta chain signature
P0A8V4	PS01166,,RNA polymerases beta chain signature
P0A8V5	PS01166,,RNA polymerases beta chain signature
P0A8V6	PS50949,,GntR-type HTH domain profile
P0A8Y3	
P0A8Y5	PS01229,,Hypothetical cof family signature 2;;PS01228,,Hypothetical cof family signature 1
P0A8Y7	PS01229,,Hypothetical cof family signature 2;;PS01228,,Hypothetical cof family signature 1
P0A8Z9	
P0A904	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile;;PS00572,,Glycosyl hydrolases family 1 active site
P0A909	
P0A910	PS51123,,OmpA-like domain profile;;PS01068,,OmpA-like domain
P0A911	PS51123,,OmpA-like domain profile;;PS01068,,OmpA-like domain
P0A912	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile;;PS51123,,OmpA-like domain profile;;PS01068,,OmpA-like domain
P0A915	
P0A916	
P0A917	PS00695,,Enterobacterial virulence outer membrane protein signature 2;;PS00694,,Enterobacterial virulence outer membrane protein signature 1
P0A920	PS00695,,Enterobacterial virulence outer membrane protein signature 2;;PS00694,,Enterobacterial virulence outer membrane protein signature 1
P0A929	
P0A949	PS51186,,Gcn5-related N-acetyltransferase (GNAT) domain profile
P0A953	PS00606,,Beta-ketoacyl synthases active site
P0A955	PS00160,,KDPG and KHG aldolases Schiff-base forming residue;;PS00159,,KDPG and KHG aldolases active site
P0A961	PS00105,,Aminotransferases class-I pyridoxal-phosphate attachment site
P0A972	PS51857,,Cold-shock (CSD) domain profile;;PS00352,,Cold-shock (CSD) domain signature
P0A978	PS51857,,Cold-shock (CSD) domain profile;;PS00352,,Cold-shock (CSD) domain signature
P0A991	
P0A993	PS00124,,Fructose-1-6-bisphosphatase active site
P0A995	PS00124,,Fructose-1-6-bisphosphatase active site
P0A998	PS50905,,Ferritin-like diiron domain profile
P0A9A2	PS50905,,Ferritin-like diiron domain profile
P0A9A6	PS01135,,FtsZ protein signature 2;;PS01134,,FtsZ protein signature 1
P0A9A8	PS01135,,FtsZ protein signature 2;;PS01134,,FtsZ protein signature 1
P0A9A9	
P0A9B1	
P0A9B2	PS00071,,Glyceraldehyde 3-phosphate dehydrogenase active site
P0A9B4	PS00071,,Glyceraldehyde 3-phosphate dehydrogenase active site
P0A9B5	PS00071,,Glyceraldehyde 3-phosphate dehydrogenase active site
P0A9C0	PS00978,,FAD-dependent glycerol-3-phosphate dehydrogenase signature 2;;PS00977,,FAD-dependent glycerol-3-phosphate dehydrogenase signature 1
P0A9C3	PS00545,,Aldose 1-epimerase putative active site
P0A9C5	PS00182,,Glutamine synthetase class-I adenylation site;;PS00181,,Glutamine synthetase putative ATP-binding region signature;;PS00180,,Glutamine synthetase signature 1
P0A9C7	PS00182,,Glutamine synthetase class-I adenylation site;;PS00181,,Glutamine synthetase putative ATP-binding region signature;;PS00180,,Glutamine synthetase signature 1
P0A9C8	PS00182,,Glutamine synthetase class-I adenylation site;;PS00181,,Glutamine synthetase putative ATP-binding region signature;;PS00180,,Glutamine synthetase signature 1
P0A9D2	PS50405,,Soluble glutathione S-transferase C-terminal domain profile;;PS50404,,Soluble glutathione S-transferase N-terminal domain profile
P0A9D8	PS00101,,Hexapeptide-repeat containing-transferases signature
P0A9F5	PS50931,,LysR-type HTH domain profile
P0A9G6	PS00161,,Isocitrate lyase signature
P0A9H1	
P0A9H9	
P0A9J3	PS50126,,S1 domain profile
P0A9J6	PS00584,,pfkB family of carbohydrate kinases signature 2;;PS00583,,pfkB family of carbohydrate kinases signature 1
P0A9J8	PS51671,,ACT domain profile;;PS51171,,Prephenate dehydratase domain profile;;PS51168,,Chorismate mutase domain profile;;PS00858,,Prephenate dehydratase signature 2;;PS00857,,Prephenate dehydratase signature 1
P0A9K3	
P0A9K5	
P0A9K6	
P0A9K7	
P0A9L3	PS50059,,FKBP-type peptidyl-prolyl cis-trans isomerase domain profile
P0A9M0	PS51787,,Lon N-terminal domain profile;;PS51786,,Lon proteolytic domain profile;;PS01046,,ATP-dependent serine proteases, lon family, serine active site;;PS00178,,Aminoacyl-transfer RNA synthetases class-I signature
P0A9M2	PS00103,,Purine/pyrimidine phosphoribosyl transferases signature
P0A9M5	PS00103,,Purine/pyrimidine phosphoribosyl transferases signature
P0A9M6	PS00103,,Purine/pyrimidine phosphoribosyl transferases signature
P0A9M8	
P0A9M9	
P0A9N7	PS01087,,Radical activating enzymes signature
P0A9P0	PS00076,,Pyridine nucleotide-disulphide oxidoreductases class-I active site
P0A9P2	PS00076,,Pyridine nucleotide-disulphide oxidoreductases class-I active site
P0A9P3	PS00076,,Pyridine nucleotide-disulphide oxidoreductases class-I active site
P0A9Q1	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P0A9Q7	PS00913,,Iron-containing alcohol dehydrogenases signature 1;;PS00060,,Iron-containing alcohol dehydrogenases signature 2
P0A9Q8	PS00913,,Iron-containing alcohol dehydrogenases signature 1;;PS00060,,Iron-containing alcohol dehydrogenases signature 2
P0A9Q9	PS01103,,Aspartate-semialdehyde dehydrogenase signature
P0A9R4	PS51085,,2Fe-2S ferredoxin-type iron-sulfur binding domain profile;;PS00814,,Adrenodoxin family, iron-sulfur binding region signature
P0A9S3	PS00059,,Zinc-containing alcohol dehydrogenases signature
P0A9T0	PS51671,,ACT domain profile;;PS00671,,D-isomer specific 2-hydroxyacid dehydrogenases signature 3;;PS00670,,D-isomer specific 2-hydroxyacid dehydrogenases signature 2;;PS00065,,D-isomer specific 2-hydroxyacid dehydrogenases NAD-binding signature
P0A9T3	PS51671,,ACT domain profile;;PS00671,,D-isomer specific 2-hydroxyacid dehydrogenases signature 3;;PS00670,,D-isomer specific 2-hydroxyacid dehydrogenases signature 2;;PS00065,,D-isomer specific 2-hydroxyacid dehydrogenases NAD-binding signature
P0A9U3	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0A9V4	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0A9W3	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0A9W5	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0A9X1	PS51298,,Zinc import ATP-binding protein znuC family profile;;PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0A9X4	
P0A9X9	PS51857,,Cold-shock (CSD) domain profile;;PS00352,,Cold-shock (CSD) domain signature
P0A9Y6	PS51857,,Cold-shock (CSD) domain profile;;PS00352,,Cold-shock (CSD) domain signature
P0A9Z1	PS51343,,P-II protein family profile;;PS00638,,P-II protein C-terminal region signature;;PS00496,,P-II protein uridylation site
P0A9Z3	PS51343,,P-II protein family profile;;PS00638,,P-II protein C-terminal region signature;;PS00496,,P-II protein uridylation site
P0A9Z6	PS51343,,P-II protein family profile;;PS00638,,P-II protein C-terminal region signature;;PS00496,,P-II protein uridylation site
P0AA04	PS51350,,PTS HPR domain profile;;PS00589,,PTS HPR domain serine phosphorylation site signature;;PS00369,,PTS HPR domain histidine phosphorylation site signature
P0AA06	PS51350,,PTS HPR domain profile;;PS00589,,PTS HPR domain serine phosphorylation site signature;;PS00369,,PTS HPR domain histidine phosphorylation site signature
P0AA10	PS00783,,Ribosomal protein L13 signature
P0AA12	PS00783,,Ribosomal protein L13 signature
P0AA15	PS00783,,Ribosomal protein L13 signature
P0AA16	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P0AA18	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P0AA21	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P0AA25	PS51352,,Thioredoxin domain profile;;PS00194,,Thioredoxin family active site
P0AA48	PS00218,,Amino acid permeases signature
P0AAB6	
P0AAB8	
P0AAB9	
P0AAC0	
P0AAC2	
P0AAC3	
P0AAF9	PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0AAG8	PS51260,,Galactose/methyl galactoside import ATP-binding protein mglA family profile;;PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0AAG9	PS51260,,Galactose/methyl galactoside import ATP-binding protein mglA family profile;;PS50893,,ATP-binding cassette, ABC transporter-type domain profile;;PS00211,,ABC transporters family signature
P0AAI8	PS00606,,Beta-ketoacyl synthases active site
P0AAI9	
P0AAJ7	PS51379,,4Fe-4S ferredoxin-type iron-sulfur binding domain profile;;PS00198,,4Fe-4S ferredoxin-type iron-sulfur binding region signature
P0AAL8	PS51379,,4Fe-4S ferredoxin-type iron-sulfur binding domain profile;;PS00198,,4Fe-4S ferredoxin-type iron-sulfur binding region signature
P0AAN3	
P0AAP0	
P0AAQ4	
P0AAQ5	
P0AAQ9	
P0AAS1	
P0AAT5	
P0AAT9	
P0AAU2	
P0AAU3	
P0AB14	
P0AB18	
P0AB43	PS51648,,YcgL domain profile
P0AB52	
P0AB54	
P0AB69	
P0AB70	
P0AB71	PS00806,,Fructose-bisphosphate aldolase class-II signature 2;;PS00602,,Fructose-bisphosphate aldolase class-II signature 1
P0AB72	PS00806,,Fructose-bisphosphate aldolase class-II signature 2;;PS00602,,Fructose-bisphosphate aldolase class-II signature 1
P0AB73	PS00806,,Fructose-bisphosphate aldolase class-II signature 2;;PS00602,,Fructose-bisphosphate aldolase class-II signature 1
P0AB79	PS00599,,Aminotransferases class-II pyridoxal-phosphate attachment site
P0AB80	PS00770,,Aminotransferases class-IV signature
P0AB88	
P0AB89	PS00163,,Fumarate lyases signature
P0AB92	
P0ABA0	
P0ABA8	PS00153,,ATP synthase gamma subunit signature
P0ABB0	PS00152,,ATP synthase alpha and beta subunits signature
P0ABB2	PS00152,,ATP synthase alpha and beta subunits signature
P0ABB3	PS00152,,ATP synthase alpha and beta subunits signature
P0ABB4	PS00152,,ATP synthase alpha and beta subunits signature
P0ABB6	PS00152,,ATP synthase alpha and beta subunits signature
P0ABB7	PS00152,,ATP synthase alpha and beta subunits signature
P0ABB8	PS00154,,E1-E2 ATPases phosphorylation site
P0ABD5	PS50989,,Acetyl-coenzyme A (CoA) carboxyltransferase C-terminal domain profile
P0ABD7	PS50989,,Acetyl-coenzyme A (CoA) carboxyltransferase C-terminal domain profile
P0ABD8	PS50968,,Biotinyl/lipoyl domain profile;;PS00188,,Biotin-requiring enzymes attachment site
P0ABE0	PS50968,,Biotinyl/lipoyl domain profile;;PS00188,,Biotin-requiring enzymes attachment site
P0ABF6	PS51747,,Cytidine and deoxycytidylate deaminases domain profile;;PS00903,,Cytidine and deoxycytidylate deaminases zinc-binding region signature
P0ABH0	
P0ABH2	
P0ABH3	
P0ABH7	PS00480,,Citrate synthase signature
P0ABH8	PS00480,,Citrate synthase signature
P0ABJ1	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile;;PS50999,,Cytochrome oxidase subunit II transmembrane region profile;;PS50857,,Cytochrome oxidase subunit II copper A binding domain profile
P0ABJ9	
P0ABK1	
P0ABK4	
P0ABK5	PS00901,,Cysteine synthase/cystathionine beta-synthase P-phosphate attachment site
P0ABP8	PS01232,,Purine and other phosphorylases family 1 signature
P0ABQ4	PS51330,,Dihydrofolate reductase (DHFR) domain profile;;PS00075,,Dihydrofolate reductase (DHFR) domain signature
P0ABR3	
P0ABT0	
P0ABT2	PS00819,,Dps protein family signature 2;;PS00818,,Dps protein family signature 1
P0ABT3	PS00819,,Dps protein family signature 2;;PS00818,,Dps protein family signature 1
P0ABT4	PS00819,,Dps protein family signature 2;;PS00818,,Dps protein family signature 1
P0ABU2	PS51880,,TGS domain profile;;PS51710,,OBG-type guanine nucleotide-binding (G) domain profile
P0ABU4	PS51880,,TGS domain profile;;PS51710,,OBG-type guanine nucleotide-binding (G) domain profile
P0ABU5	
P0ABX2	PS00588,,Flagella basal body rod proteins signature
P0ABZ8	PS50198,,PpiC-type peptidyl-prolyl cis-trans isomerase family profile;;PS01096,,PpiC-type peptidyl-prolyl cis-trans isomerase signature
P0AC13	PS50972,,Pterin-binding domain profile;;PS00793,,Dihydropteroate synthase signature 2;;PS00792,,Dihydropteroate synthase signature 1
P0AC15	PS50972,,Pterin-binding domain profile;;PS00793,,Dihydropteroate synthase signature 2;;PS00792,,Dihydropteroate synthase signature 1
P0AC33	PS00163,,Fumarate lyases signature
P0AC38	PS00163,,Fumarate lyases signature
P0AC40	PS00163,,Fumarate lyases signature
P0AC41	PS00504,,Fumarate reductase / succinate dehydrogenase FAD-binding site
P0AC47	PS51379,,4Fe-4S ferredoxin-type iron-sulfur binding domain profile;;PS51085,,2Fe-2S ferredoxin-type iron-sulfur binding domain profile;;PS00198,,4Fe-4S ferredoxin-type iron-sulfur binding region signature;;PS00197,,2Fe-2S ferredoxin-type iron-sulfur binding region signature
P0AC50	PS51379,,4Fe-4S ferredoxin-type iron-sulfur binding domain profile;;PS51085,,2Fe-2S ferredoxin-type iron-sulfur binding domain profile;;PS00198,,4Fe-4S ferredoxin-type iron-sulfur binding region signature;;PS00197,,2Fe-2S ferredoxin-type iron-sulfur binding region signature
P0AC55	PS51343,,P-II protein family profile;;PS00638,,P-II protein C-terminal region signature;;PS00496,,P-II protein uridylation site
P0AC59	PS50404,,Soluble glutathione S-transferase N-terminal domain profile;;PS00195,,Glutaredoxin active site
P0AC62	PS51354,,Glutaredoxin domain profile;;PS00195,,Glutaredoxin active site
P0AC69	PS51354,,Glutaredoxin domain profile
P0AC81	PS51819,,Vicinal oxygen chelate (VOC) domain profile;;PS00935,,Glyoxalase I signature 2;;PS00934,,Glyoxalase I signature 1
P0AC87	PS00102,,Phosphorylase pyridoxal-phosphate attachment site
P0AC90	PS00061,,Short-chain dehydrogenases/reductases family signature
P0AC91	PS00061,,Short-chain dehydrogenases/reductases family signature
P0ACA3	PS50405,,Soluble glutathione S-transferase C-terminal domain profile;;PS50404,,Soluble glutathione S-transferase N-terminal domain profile
P0ACA5	PS50405,,Soluble glutathione S-transferase C-terminal domain profile;;PS50404,,Soluble glutathione S-transferase N-terminal domain profile
P0ACB3	PS00169,,Delta-aminolevulinic acid dehydratase active site
P0ACB4	PS50902,,Flavodoxin-like domain profile;;PS00201,,Flavodoxin signature
P0ACB9	PS50293,,TPR repeat region circular profile;;PS50005,,TPR repeat profile
P0ACC2	PS00092,,N-6 Adenine-specific DNA methylases signature
P0ACC3	PS01152,,Hypothetical hesB/yadR/yfhF family signature
P0ACD6	
P0ACD7	
P0ACD8	PS00508,,Nickel-dependent hydrogenases large subunit signature 2;;PS00507,,Nickel-dependent hydrogenases large subunit signature 1
P0ACE2	PS00508,,Nickel-dependent hydrogenases large subunit signature 2;;PS00507,,Nickel-dependent hydrogenases large subunit signature 1
P0ACE5	
P0ACE6	
P0ACE7	PS51084,,HIT domain profile;;PS00892,,HIT domain signature
P0ACF0	PS00045,,Bacterial histone-like DNA-binding proteins signature
P0ACF4	PS00045,,Bacterial histone-like DNA-binding proteins signature
P0ACF8	
P0ACG0	
P0ACG1	
P0ACG3	
P0ACI9	PS50956,,AsnC-type HTH domain profile;;PS00519,,AsnC-type HTH domain signature
P0ACJ0	PS50956,,AsnC-type HTH domain profile;;PS00519,,AsnC-type HTH domain signature
P0ACK9	PS51000,,DeoR-type HTH domain profile;;PS00894,,DeoR-type HTH domain signature
P0ACL4	PS50949,,GntR-type HTH domain profile
P0ACL8	PS50949,,GntR-type HTH domain profile
P0ACN4	PS51078,,IclR effector binding domain profile;;PS51077,,IclR-type HTH domain profile
P0ACP3	PS50932,,LacI-type HTH domain profile;;PS00356,,LacI-type HTH domain signature
P0ACP8	PS50932,,LacI-type HTH domain profile;;PS00356,,LacI-type HTH domain signature
P0ACS1	PS50995,,MarR-type HTH domain profile;;PS01117,,MarR-type HTH domain signature
P0ACW7	
P0ACZ3	
P0ACZ4	PS50110,,Response regulatory domain profile;;PS50043,,LuxR-type HTH domain profile;;PS00622,,LuxR-type HTH domain signature
P0ACZ7	PS50110,,Response regulatory domain profile;;PS50043,,LuxR-type HTH domain profile;;PS00622,,LuxR-type HTH domain signature
P0AD23	
P0AD24	
P0AD59	
P0AD61	PS00110,,Pyruvate kinase active site signature
P0AD62	PS00110,,Pyruvate kinase active site signature
P0ADB1	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P0ADB7	PS51257,,Prokaryotic membrane lipoprotein lipid attachment site profile
P0ADC5	
P0ADE6	PS51782,,LysM domain profile;;PS50914,,BON domain profile
P0ADE9	
P0ADG7	PS51371,,CBS domain profile;;PS00487,,IMP dehydrogenase / GMP reductase signature
P0ADG8	PS51371,,CBS domain profile;;PS00487,,IMP dehydrogenase / GMP reductase signature
P0ADI4	PS50075,,Carrier protein (CP) domain profile;;PS00012,,Phosphopantetheine attachment site
P0ADN2	
P0ADN4	
P0ADN5	
P0ADQ7	
P0ADR7	
P0ADS2	
P0ADS5	
P0ADT4	
P0ADU5	
P0ADW3	
P0ADW5	
P0ADX1	
P0ADY3	PS00049,,Ribosomal protein L14 signature
P0ADY6	PS00049,,Ribosomal protein L14 signature
P0ADY7	PS00701,,Ribosomal protein L16 signature 2;;PS00586,,Ribosomal protein L16 signature 1
P0ADZ3	PS00430,,TonB-dependent receptor proteins signature 1;;PS00050,,Ribosomal protein L23 signature
P0AE08	PS51352,,Thioredoxin domain profile
P0AE10	PS51352,,Thioredoxin domain profile
P0AE11	PS51352,,Thioredoxin domain profile
P0AE12	
P0AE18	PS00680,,Methionine aminopeptidase subfamily 1 signature
P0AE20	PS00680,,Methionine aminopeptidase subfamily 1 signature
P0AE21	PS00680,,Methionine aminopeptidase subfamily 1 signature
P0AE39	PS50930,,LytTR-type HTH domain profile;;PS50110,,Response regulatory domain profile
P0AE52	PS51352,,Thioredoxin domain profile
P0AE54	PS51352,,Thioredoxin domain profile
P0AE55	PS51352,,Thioredoxin domain profile
P0AE62	
P0AE67	PS50110,,Response regulatory domain profile
P0AE68	PS50110,,Response regulatory domain profile
P0AE82	PS50885,,HAMP domain profile;;PS50109,,Histidine kinase domain profile
P0AE88	PS51755,,OmpR/PhoB-type DNA-binding domain profile;;PS50110,,Response regulatory domain profile
P0AEB2	
P0AEB7	PS01094,,Uncharacterized protein family UPF0076 signature
P0AEC3	PS50894,,Histidine-containing phosphotransfer (HPt) domain profile;;PS50113,,PAC domain profile;;PS50112,,PAS repeat profile;;PS50110,,Response regulatory domain profile;;PS50109,,Histidine kinase domain profile
P0AED0	
P0AED2	
P0AED5	PS50110,,Response regulatory domain profile;;PS50043,,LuxR-type HTH domain profile;;PS00622,,LuxR-type HTH domain signature
P0AED6	PS50110,,Response regulatory domain profile;;PS50043,,LuxR-type HTH domain profile;;PS00622,,LuxR-type HTH domain signature
P0AEE5	
P0AEE7	
P0AEH5	
P0AEI3	PS51449,,Methylthiotransferase N-terminal domain profile;;PS50926,,TRAM domain profile;;PS01278,,Methylthiotransferase radical SAM domain signature
P0AEJ4	PS50885,,HAMP domain profile;;PS50109,,Histidine kinase domain profile
P0AEK2	PS00061,,Short-chain dehydrogenases/reductases family signature
P0AEK5	
P0AEL5	
P0AEP5	
P0AES0	PS50911,,CHAP domain profile
P0AES5	
P0AES7	PS50880,,Toprim domain profile;;PS00177,,DNA topoisomerase II signature
P0AES8	PS50880,,Toprim domain profile;;PS00177,,DNA topoisomerase II signature
P0AET8	PS00061,,Short-chain dehydrogenases/reductases family signature
P0AET9	PS00061,,Short-chain dehydrogenases/reductases family signature
P0AEU0	PS01039,,Bacterial extracellular solute-binding proteins, family 3 signature
P0AEU7	
P0AEV1	PS50110,,Response regulatory domain profile
P0AEX9	PS01037,,Bacterial extracellular solute-binding proteins, family 1 signature
P0AEZ6	
P0AEZ9	PS01078,,Molybdenum cofactor biosynthesis proteins signature 1
P0AF04	PS01078,,Molybdenum cofactor biosynthesis proteins signature 1
P0AF05	
P0AF24	
P0AF25	
P0AF28	PS50110,,Response regulatory domain profile;;PS50043,,LuxR-type HTH domain profile;;PS00622,,LuxR-type HTH domain signature
P0AF49	PS01314,,Uncharacterized protein family UPF0047 signature
P0AF50	
P0AF69	
P0AF93	PS01094,,Uncharacterized protein family UPF0076 signature
P0AFA3	PS50885,,HAMP domain profile;;PS50109,,Histidine kinase domain profile
P0AFB5	PS50112,,PAS repeat profile;;PS50109,,Histidine kinase domain profile
