Protein	Family,,Description,,Region
B0VRX4	3.40.50.12740,,,,7-127
B0VRZ6	1.20.1720.10,,,,14-394
B0VS13	3.90.1300.10,,Amidase signature (AS) enzymes,,3-487
B0VSA2	2.30.130.40,,LON domain-like,,13-127;;1.20.58.1480,,,,133-256;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,326-503;;1.10.8.60,,,,504-598;;3.30.230.10,,,,599-786
B0VSA6	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,201-422
B0VSB0	N/A,,N/A,,N/A
B0VSC3	N/A,,N/A,,N/A
B0VSC6	2.40.128.640,,,,36-146
B0VSC7	3.20.20.60,,Phosphoenolpyruvate-binding domains,,3-278,309-408;;3.20.20.60,,Phosphoenolpyruvate-binding domains,,410-532
B0VSG3	N/A,,N/A,,N/A
B0VSH0	1.20.1640.10,,Multidrug efflux transporter AcrB transmembrane domain,,8-37,333-516;;3.30.70.1320,,Multidrug efflux transporter AcrB pore domain like,,133-178,276-332;;3.30.70.1430,,Multidrug efflux transporter AcrB pore domain,,38-132,814-821;;1.20.1640.10,,Multidrug efflux transporter AcrB transmembrane domain,,517-570,874-1037;;3.30.2090.10,,Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains ,,179-275;;3.30.70.1440,,Multidrug efflux transporter AcrB pore domain,,673-724,822-873;;3.30.70.1430,,Multidrug efflux transporter AcrB pore domain,,571-672;;3.30.2090.10,,Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains ,,725-813
B0VSK6	3.10.20.30,,,,1-105;;1.10.1060.10,,Fumarate Reductase Iron-sulfur Protein; Chain B, domain 2,,106-235
B0VSK9	3.50.50.60,,,,5-161,284-340;;3.50.50.60,,,,162-283;;3.30.390.30,,,,352-477
B0VSL1	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-125;;3.40.50.261,,Succinyl-CoA synthetase domains,,126-291
B0VSM6	3.20.20.20,,Dihydropteroate (DHP) synthetase,,3-283
B0VSP4	2.30.33.40,,10 Kd Chaperonin, Protein Cpn10; Chain O,,1-96
B0VSP5	3.30.260.10,,GROEL, domain 2,,138-172,380-410;;3.50.7.10,,GroEL,,173-379;;1.10.560.10,,GROEL, domain 1,,8-137,411-521
B0VSP8	3.20.20.190,,Phosphatidylinositol (PI) phosphodiesterase,,40-376
B0VSR1	3.40.1050.10,,Beta-carbonic Anhydrase; Chain A,,1-204
B0VT26	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,60-275;;3.30.230.10,,,,319-458
B0VT30	3.10.310.10,,Diaminopimelate Epimerase; Chain A, domain 1,,4-116,264-272;;3.10.310.10,,Diaminopimelate Epimerase; Chain A, domain 1,,117-263
B0VT37	3.40.50.620,,HUPs,,1-247
B0VT43	N/A,,N/A,,N/A
B0VT50	2.40.50.100,,,,87-121,248-283;;2.40.30.170,,,,78-86,284-365
B0VT51	1.20.1600.10,,Outer membrane efflux proteins (OEP) ,,38-115,161-490
B0VT70	3.30.1330.10,,,,11-175;;3.90.650.10,,Phosphoribosyl-aminoimidazole Synthetase; Chain A, domain 2,,176-347
B0VT89	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,18-181;;1.10.8.60,,,,182-256;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,257-333
B0VTA3	N/A,,N/A,,N/A
B0VTE3	3.40.1160.10,,,,7-299
B0VTE4	3.40.120.10,,Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3,,2-142;;3.40.120.10,,Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3,,176-253;;3.40.120.10,,Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3,,256-376;;3.30.310.50,,Major birch pollen allergen Bet v 1,,378-468
B0VTE7	3.30.1330.60,,OmpA-like,,75-217
B0VTF2	3.30.1070.10,,Cell division protein MinE topological specificity domain,,21-88
B0VTG3	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-299;;2.40.30.10,,Translation factors,,300-412;;3.30.70.870,,Elongation Factor G (Translational Gtpase), domain 3,,413-487;;3.30.70.240,,,,614-685;;3.30.230.10,,,,491-613,686-697
B0VTG4	1.10.455.10,,Ribosomal Protein S7;,,2-155
B0VTG5	2.40.50.140,,Nucleic acid-binding proteins,,1-124
B0VTG6	N/A,,N/A,,N/A
B0VTG7	3.40.47.10,,,,1-252;;3.40.47.10,,,,258-408
B0VTK7	2.40.160.170,,,,22-249
B0VTL0	1.10.3720.10,,MetI-like,,38-295
B0VTL8	3.90.700.10,,Flavocytochrome C3; Chain A, domain 1,,246-356;;3.50.50.60,,,,11-245,357-402;;1.20.58.100,,,,423-538
B0VTN8	3.90.1150.10,,Aspartate Aminotransferase, domain 1,,27-63,287-387;;3.40.640.10,,Type I PLP-dependent aspartate aminotransferase-like (Major domain),,64-286
B0VTP6	3.30.360.10,,Dihydrodipicolinate Reductase; domain 2,,291-456;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,133-290,457-467
B0VTQ1	2.70.210.12,,Obg GTP-binding protein N-terminal domain,,1-158;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,159-340
B0VTR7	3.40.718.10,,Isopropylmalate Dehydrogenase,,404-663
B0VTW8	1.25.40.10,,,,28-170;;1.25.40.10,,,,171-342;;1.25.40.10,,,,343-430;;1.25.40.10,,,,431-567
B0VTY1	3.10.350.10,,Membrane-bound Lytic Murein Transglycosylase D; Chain A,,107-155
B0VTY5	N/A,,N/A,,N/A
B0VU03	3.30.1400.10,,Cell-division protein ZipA, C-terminal domain,,202-343
B0VU34	2.40.50.100,,,,84-117;;1.10.287.470,,Helix hairpin bin,,118-150;;2.40.30.170,,,,266-381
B0VU36	2.40.30.10,,Translation factors,,214-286,350-366;;1.10.8.260,,HI0933 insert domain-like,,287-349;;3.50.50.60,,,,31-213,367-415
B0VU39	N/A,,N/A,,N/A
B0VU92	3.40.640.10,,Type I PLP-dependent aspartate aminotransferase-like (Major domain),,72-322;;3.90.1150.10,,Aspartate Aminotransferase, domain 1,,10-71,323-424
B0VUG0	N/A,,N/A,,N/A
B0VUH1	1.10.10.10,,""winged helix"" repressor DNA binding domain,,4-95;;3.40.190.10,,Periplasmic binding protein-like II,,100-163,254-279;;3.40.190.10,,Periplasmic binding protein-like II,,164-253
B0VUQ9	3.20.20.210,,,,1-357
B0VUR7	3.30.365.10,,Aldehyde Oxidoreductase; domain 4,,141-153,411-461,610-777;;3.90.1170.50,,,,17-140;;3.30.365.10,,Aldehyde Oxidoreductase; domain 4,,154-187,283-410;;3.30.365.10,,Aldehyde Oxidoreductase; domain 4,,188-282;;3.30.365.10,,Aldehyde Oxidoreductase; domain 4,,462-562,583-609
B0VUS6	3.40.50.880,,,,1-193
B0VUT0	3.10.20.70,,Glutamine synthetase, N-terminal domain,,3-105;;3.30.590.10,,Glutamine synthetase/guanido kinase,,106-459
B0VUT7	1.10.287.990,,Fe,Mn superoxide dismutase (SOD) domain,,21-87;;2.40.500.20,,,,88-204
B0VUU5	3.40.50.1480,,,,8-203;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,204-369;;3.40.50.1480,,,,370-460
B0VUU9	1.10.540.10,,Butyryl-Coa Dehydrogenase, subunit A, domain 1,,127-240;;2.40.110.10,,Butyryl-CoA Dehydrogenase, subunit A, domain 2,,241-365;;1.20.140.10,,Butyryl-CoA Dehydrogenase, subunit A, domain 3,,366-512
B0VUW0	1.10.287.610,,Helix hairpin bin,,105-152;;3.40.50.10490,,Glucose-6-phosphate isomerase like protein; domain 1,,11-104,153-221
B0VUW1	1.10.8.10,,DNA helicase RuvA subunit, C-terminal domain,,1-56;;3.30.479.20,,Elongation Factor Tu; Chain B, domain 2,,57-148;;1.10.286.20,,,,188-234;;3.30.479.20,,Elongation Factor Tu; Chain B, domain 2,,153-187,235-268
B0VUX3	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-236
B0VV27	1.10.10.1330,,,,115-252;;1.10.10.60,,Homeodomain-like,,422-480
B0VV34	3.30.870.10,,Endonuclease Chain A,,81-279;;3.30.870.10,,Endonuclease Chain A,,310-510
B0VVA3	3.90.1150.10,,Aspartate Aminotransferase, domain 1,,23-70,339-441;;3.40.640.10,,Type I PLP-dependent aspartate aminotransferase-like (Major domain),,71-338
B0VVG9	2.40.180.10,,Catalase HpII,  Chain A, domain 1,,1-439;;1.20.1370.20,,,,442-542;;3.40.50.880,,,,544-694
B1LJZ7	N/A,,N/A,,N/A
B1XHQ1	3.30.70.990,,YajQ-like, domain 2,,12-101;;3.30.70.860,,,,6-11,102-163
B1XHR0	N/A,,N/A,,N/A
B1XHU3	3.30.70.1810,,,,3-103;;3.30.70.1810,,,,105-211
B1XHV3	1.25.40.620,,,,2-152;;1.10.10.1770,,,,153-229
B1XHW1	3.90.105.30,,,,229-296;;1.10.274.100,,,,10-59;;1.10.132.30,,,,60-178;;2.40.50.100,,,,1004-1067;;1.10.1790.20,,,,989-1003,1068-1182;;1.10.150.390,,,,1184-1243
B1XHX8	3.50.50.60,,,,2-151;;3.50.50.60,,,,186-298;;3.50.50.60,,,,413-495
B1XHY8	2.40.30.20,,,,2-94;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,95-372;;1.20.150.20,,,,373-505
B1XI00	3.20.20.70,,Aldolase class I,,11-252;;1.20.120.1460,,,,256-331
B1XI15	2.120.10.30,,TolB, C-terminal domain,,21-171
B1XI23	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-242
B1XI27	1.10.8.1210,,,,14-31;;3.40.50.10860,,Leucine Dehydrogenase, chain A, domain 1,,32-164;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,180-423
B1XI34	N/A,,N/A,,N/A
B1XI63	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-213;;2.40.30.10,,Translation factors,,216-310;;2.40.30.10,,Translation factors,,311-408
B1XI89	N/A,,N/A,,N/A
B1XIB1	3.10.620.30,,,,450-620
B1XID3	N/A,,N/A,,N/A
B1XID9	N/A,,N/A,,N/A
B1XIJ8	3.30.450.20,,,,1-104;;1.10.287.130,,,,105-203;;3.30.565.10,,,,205-368
B1XIQ3	2.60.40.10,,Immunoglobulins,,199-302
B1XIR1	N/A,,N/A,,N/A
B1XIS1	3.10.20.30,,,,2-105
B1XIT7	1.10.3430.10,,Ammonium transporter AmtB like domains,,62-523
B1XIX5	N/A,,N/A,,N/A
B1XIY4	3.20.110.20,,,,44-455
B1XIZ9	3.40.50.2300,,,,2-82;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,120-233
B1XJ00	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,108-314
B1XJ06	3.40.50.11060,,,,187-306;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,365-534
B1XJ17	N/A,,N/A,,N/A
B1XJ56	N/A,,N/A,,N/A
B1XJ57	N/A,,N/A,,N/A
B1XJ60	N/A,,N/A,,N/A
B1XJC1	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,75-296;;3.30.230.10,,,,312-473
B1XJE1	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,2-157,192-293;;2.60.40.790,,,,294-363
B1XJG5	3.40.50.970,,,,6-334;;3.40.50.970,,,,335-541;;3.40.50.920,,,,543-667
B1XJH2	3.30.1550.10,,Ribosomal protein L11, N-terminal domain,,2-71;;1.10.10.250,,,,72-140
B1XJH3	3.30.70.940,,N-utilization substance G protein NusG, N-terminal domain,,11-140;;2.30.30.30,,,,141-198
B1XJI0	3.30.230.10,,,,10-137
B1XJI9	1.10.3370.10,,Preprotein translocase SecY subunit domain,,12-433
B1XJJ0	3.100.10.10,,,,68-146
B1XJJ1	3.30.160.20,,,,7-79;;3.30.230.10,,,,82-173
B1XJN0	1.20.1250.20,,MFS general substrate transporter like domains,,18-197,229-472
B1XJQ7	3.30.450.20,,,,11-124;;1.10.287.130,,,,127-209;;3.30.565.10,,,,210-370
B1XJR5	N/A,,N/A,,N/A
B1XJV1	2.60.120.10,,Jelly Rolls,,3-121
B1XJV4	N/A,,N/A,,N/A
B1XJZ4	N/A,,N/A,,N/A
B1XK04	3.20.20.70,,Aldolase class I,,3-341
B1XK65	N/A,,N/A,,N/A
B1XK76	3.30.750.24,,SpoIIaa-like,,43-151
B1XK81	3.50.7.10,,GroEL,,191-370;;3.30.260.10,,GROEL, domain 2,,135-190,371-408;;1.10.560.10,,GROEL, domain 1,,7-134,409-521
B1XK88	3.30.1150.10,,,,264-376
B1XKC7	3.40.50.1820,,,,4-296
B1XKC9	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,167-349;;1.10.8.60,,,,350-426;;1.20.58.760,,,,430-634
B1XKD0	2.30.30.60,,,,382-430;;3.30.70.100,,,,432-518
B1XKD3	N/A,,N/A,,N/A
B1XKD5	N/A,,N/A,,N/A
B1XKE5	3.40.1010.10,,Cobalt-precorrin-4 Transmethylase; Domain 1,,1-117;;3.30.950.10,,Methyltransferase, Cobalt-precorrin-4 Transmethylase; Domain 2,,118-240;;3.40.50.10090,,,,241-373;;3.40.50.10090,,,,376-495
B1XKF4	3.30.2290.10,,PmbA/TldD superfamily,,1-199
B1XKJ1	3.40.50.20,,,,1-116;;3.30.470.20,,ATP-grasp fold, B domain,,120-403;;1.10.1030.10,,Carbamoyl Phosphate Synthetase; Chain A, domain 4,,417-560;;3.40.50.20,,,,561-668;;3.30.470.20,,ATP-grasp fold, B domain,,681-952;;3.40.50.1380,,,,954-1090
B1XKJ2	3.20.20.10,,Alanine racemase,,39-254;;2.40.37.10,,Lyase, Ornithine Decarboxylase; Chain A, domain 1,,34-38,255-397
B1XKK0	2.160.10.10,,Hexapeptide repeat proteins,,32-197
B1XKK6	N/A,,N/A,,N/A
B1XKL1	1.20.910.10,,Heme oxygenase-like,,2-224
B1XKL6	N/A,,N/A,,N/A
B1XKL7	1.10.287.110,,,,1-80;;2.160.20.100,,,,210-298;;2.160.20.80,,E3 ubiquitin-protein ligase SopA ,,299-421;;2.160.20.100,,,,426-512
B1XKM6	3.40.50.2300,,,,15-152;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,164-226
B1XKQ7	2.60.120.10,,Jelly Rolls,,9-103
B1XKR6	N/A,,N/A,,N/A
B1XKS1	1.25.40.10,,,,368-507;;2.130.10.10,,YVTN repeat-like/Quinoprotein amine dehydrogenase ,,1062-1352
B1XKU7	1.20.120.160,,,,5-148;;3.30.565.10,,,,545-732;;2.40.50.180,,CheA-289, Domain 4,,757-802,823-840;;2.30.30.40,,SH3 Domains,,734-756,841-880;;3.40.50.2300,,,,914-1039
B1XKV1	2.30.30.30,,,,1-63;;2.40.50.140,,Nucleic acid-binding proteins,,64-127;;2.40.50.140,,Nucleic acid-binding proteins,,128-185
B1XKZ7	3.30.1330.10,,,,5-144;;3.90.650.10,,Phosphoribosyl-aminoimidazole Synthetase; Chain A, domain 2,,150-330
B1XL10	3.30.70.330,,,,1-118
B1XL15	3.60.15.10,,Metallo-beta-lactamase, chain A,,34-233,393-463;;3.40.50.10710,,Metallo-hydrolase/oxidoreductase,,234-392;;3.10.20.580,,,,475-587
B1XL17	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,7-127,317-330;;3.30.360.10,,Dihydrodipicolinate Reductase; domain 2,,128-316
B1XL18	3.30.70.1050,,Trigger factor ribosome-binding domain,,1-117;;1.10.3120.10,,Trigger factor, domain 2,,122-156,262-432;;3.10.50.40,,,,157-261
B1XL22	1.10.150.20,,5' to 3' exonuclease, C-terminal subdomain,,185-257;;3.40.50.1010,,5'-nuclease,,6-184,258-287;;3.30.420.10,,,,357-568;;1.20.1060.10,,Taq DNA Polymerase; Chain T, domain 4,,570-685;;3.30.70.370,,,,690-736,900-969;;1.10.150.20,,5' to 3' exonuclease, C-terminal subdomain,,737-899
B1XL29	3.30.2060.10,,Penicillin-binding protein 1b domain,,146-232;;3.40.50.11180,,,,40-145,233-317;;2.30.30.840,,,,499-552;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,494-498,794-1001;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,553-793;;3.90.1150.50,,,,1011-1158
B1XL42	1.10.287.470,,Helix hairpin bin,,105-153;;2.40.50.100,,,,71-104;;2.40.30.170,,,,60-70;;1.10.287.470,,Helix hairpin bin,,164-218;;1.10.287.470,,Helix hairpin bin,,230-282;;2.40.420.20,,,,405-463;;2.40.50.100,,,,283-324;;2.40.30.170,,,,327-404
B1XL66	N/A,,N/A,,N/A
B1XLA1	N/A,,N/A,,N/A
B1XLA3	3.30.70.1710,,,,1-111
B1XLC0	N/A,,N/A,,N/A
B1XLC6	2.160.10.10,,Hexapeptide repeat proteins,,1-191;;1.20.1180.10,,,,193-260
B1XLD2	3.20.20.300,,,,1-376;;3.40.50.10870,,Glycosyl hydrolase family 3,,377-532
B1XLD5	N/A,,N/A,,N/A
B1XLE2	3.90.420.10,,Sulfite Oxidase; Chain A, domain 2,,68-325
B1XLF2	3.40.630.30,,,,7-157
B1XLF8	3.30.1310.10,,,,5-110
B1XLH5	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,3-316;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,322-583
B1XLK6	3.30.460.30,,,,1-158;;3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,162-306
B1XLN4	N/A,,N/A,,N/A
B1XLP9	N/A,,N/A,,N/A
B1XLQ7	3.40.50.2300,,,,3-136;;1.10.287.130,,,,137-207;;3.30.565.10,,,,208-364
B1XLT0	3.50.50.60,,,,4-41,110-177,284-318;;3.90.660.10,,,,42-109,178-283
B1XLU9	1.25.40.10,,,,27-151;;1.25.40.10,,,,152-246
B1XLZ0	3.10.590.10,,ph1033 like domains,,1-150
B1XLZ3	N/A,,N/A,,N/A
B1XLZ7	3.40.30.10,,Glutaredoxin,,59-164
B1XM06	3.30.70.260,,,,1-79;;3.30.70.1150,,ACT-like. Chain A, domain 2,,83-161
B1XM21	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,2-221
B1XM32	3.40.120.10,,Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3,,2-173;;3.40.120.10,,Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3,,183-263;;3.40.120.10,,Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3,,265-380;;3.30.310.50,,Major birch pollen allergen Bet v 1,,384-471
B1XM44	3.40.640.10,,Type I PLP-dependent aspartate aminotransferase-like (Major domain),,34-280;;3.90.1150.10,,Aspartate Aminotransferase, domain 1,,20-33,281-378
B1XM45	3.40.1170.10,,DNA repair protein MutS, domain I,,16-144;;3.30.420.110,,DNA repair protein MutS, domain II,,150-301;;1.10.1420.10,,,,471-568;;1.10.1420.10,,,,383-470,569-602;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,610-879
B1XM81	3.30.1060.10,,Peptide methionine sulfoxide reductase,,7-217
B1XM95	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-219
B1XMD0	N/A,,N/A,,N/A
B1XMF0	3.40.50.2000,,Glycogen Phosphorylase B;,,253-404
B1XMF3	1.20.1560.10,,Putative multidrug export ATP-binding/permease protein like domains,,17-345;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,357-607
B1XMF7	3.40.50.2300,,,,1-81;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,128-222
B1XMG6	1.10.287.470,,Helix hairpin bin,,128-154;;2.40.50.100,,,,93-127;;2.40.30.170,,,,82-92;;1.10.287.470,,Helix hairpin bin,,162-234;;2.40.420.20,,,,381-441;;2.40.50.100,,,,264-301;;2.40.30.170,,,,302-380;;1.10.287.470,,Helix hairpin bin,,246-263
B1XMJ1	3.30.200.20,,Phosphorylase Kinase; domain 1,,4-99;;1.10.510.10,,Transferase(Phosphotransferase) domain 1,,100-272
B1XMJ8	N/A,,N/A,,N/A
B1XML7	3.10.290.10,,Structural Genomics Hypothetical 15.5 Kd Protein In Mrca-pcka Intergenic Region; Chain,,1-67
B1XMR4	3.40.109.10,,NADH Oxidase,,10-27,283-500;;3.40.109.10,,NADH Oxidase,,28-275
B1XMS4	3.30.1490.20,,ATP-grasp fold, A domain,,15-228;;3.30.470.20,,ATP-grasp fold, B domain,,229-395;;3.50.30.10,,Phosphohistidine domains of PEP-utilising enzymes,,397-515;;3.20.20.60,,Phosphoenolpyruvate-binding domains,,516-828
B1XMS5	3.10.20.30,,,,2-98
B1XMT9	3.20.20.70,,Aldolase class I,,14-367
B1XMV9	3.40.50.1100,,,,122-218;;3.40.50.1100,,,,72-121,219-395
B1XMW3	N/A,,N/A,,N/A
B1XMW4	3.50.30.10,,Phosphohistidine domains of PEP-utilising enzymes,,787-890
B1XMW7	N/A,,N/A,,N/A
B1XMY8	N/A,,N/A,,N/A
B1XN08	3.40.50.620,,HUPs,,4-244
B1XN10	3.10.580.10,,CBS-domain,,3-154;;3.10.580.10,,CBS-domain,,155-291;;3.30.70.270,,,,317-492
B1XN11	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,455-484,518-751
B1XN19	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,2-288
B1XN27	3.40.50.2000,,Glycogen Phosphorylase B;,,175-364;;3.40.50.2000,,Glycogen Phosphorylase B;,,80-174,365-376
B1XN32	2.70.210.12,,Obg GTP-binding protein N-terminal domain,,1-158;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,161-350
B1XN36	3.30.420.40,,,,13-147,319-329;;3.90.640.10,,Actin; Chain A, domain 4,,186-260;;3.30.420.40,,,,154-184,261-318
B1XN39	3.40.50.1000,,,,16-24,104-230;;1.10.150.240,,Putative phosphatase; domain 2,,25-103
B1XN41	3.90.1570.10,,tt1808, chain A,,4-180
B1XN46	3.90.226.10,,2-enoyl-CoA Hydratase; Chain A, domain 1,,2-196
B1XN61	N/A,,N/A,,N/A
B1XN69	1.10.2090.10,,orange carotenoid protein, domain 2,,18-170;;3.10.450.50,,,,190-320
B1XN71	3.30.1360.20,,,,3-92
B1XN87	N/A,,N/A,,N/A
B1XN94	3.40.50.2300,,,,3-143;;1.10.287.130,,,,144-215;;3.30.565.10,,,,219-364
B1XN95	3.30.2350.10,,Pseudouridine synthase,,332-536
B1XNA5	2.60.60.20,,Lipase/lipooxygenase domain (PLAT/LH2 domain),,31-146
B1XNB5	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-299
B1XNH1	1.10.3810.10,,Penicillin binding protein transpeptidase domain,,91-290;;3.40.710.10,,DD-peptidase/beta-lactamase superfamily,,293-665
B1XNH3	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,2-290;;2.40.30.10,,Translation factors,,291-401;;3.30.70.870,,Elongation Factor G (Translational Gtpase), domain 3,,402-479;;3.30.70.240,,,,600-670;;3.30.230.10,,,,480-599,671-683
B1XNI7	N/A,,N/A,,N/A
B1XNJ2	3.30.230.10,,,,24-168;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,178-507
B1XNM4	3.40.50.720,,NAD(P)-binding Rossmann-like Domain,,1-165;;1.10.1040.10,,N-(1-d-carboxylethyl)-l-norvaline Dehydrogenase; domain 2,,166-287
B1XNP2	3.40.50.2300,,,,1-136
B1XNQ8	3.40.50.10890,,,,198-273;;3.60.15.10,,Metallo-beta-lactamase, chain A,,23-197
B1XNR2	3.40.630.30,,,,38-168
B1XNS5	3.40.190.10,,Periplasmic binding protein-like II,,108-210;;3.40.190.10,,Periplasmic binding protein-like II,,11-107,211-218;;3.30.160.40,,Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain,,230-315
B1XNV2	3.30.1330.30,,,,125-208;;3.40.1280.10,,,,209-375
B1XNY5	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,54-270
B1XNY8	N/A,,N/A,,N/A
B1XP01	1.10.1370.10,,Neurolysin, domain 3,,140-345,546-613;;1.10.1370.40,,,,14-139,346-545,614-682
B1XP17	2.70.98.10,,,,3-297
B1XP36	1.10.287.560,,Helical hairpin bin,,249-308;;3.30.565.10,,,,407-595;;2.40.50.180,,CheA-289, Domain 4,,619-691;;2.30.30.40,,SH3 Domains,,596-618,692-732;;3.40.50.12740,,,,770-905;;3.40.50.12740,,,,924-1055
B1XP38	3.30.450.40,,,,24-171;;1.10.287.130,,,,174-252;;3.30.565.10,,,,258-411
B1XP53	3.40.50.800,,Class II aaRS ABD-related,,4-10,494-580;;3.90.960.10,,YbaK/ProRS associated domain,,243-416;;3.30.930.10,,Bira Bifunctional Protein; Domain 2,,11-242,417-493
B1XP61	3.30.200.20,,Phosphorylase Kinase; domain 1,,4-92;;1.10.510.10,,Transferase(Phosphotransferase) domain 1,,93-318
B1XP71	2.60.120.10,,Jelly Rolls,,10-132;;1.10.10.10,,""winged helix"" repressor DNA binding domain,,133-226
B1XP78	3.30.200.20,,Phosphorylase Kinase; domain 1,,5-146;;1.10.510.10,,Transferase(Phosphotransferase) domain 1,,147-340
B1XP79	1.25.40.310,,,,1-162;;3.20.19.10,,Aconitase, domain 4,,163-351;;3.40.1060.10,,Aconitase, Domain 2,,375-391,520-671;;3.30.499.10,,Aconitase, domain 3,,392-519;;3.30.499.10,,Aconitase, domain 3,,673-854
B1XP80	N/A,,N/A,,N/A
B1XP90	3.90.740.10,,Isoleucyl-tRNA Synthetase; Domain 2,,228-417;;3.40.50.620,,HUPs,,33-227,418-572;;1.10.730.10,,Isoleucyl-tRNA Synthetase; Domain 1,,9-32,624-782;;3.10.330.110,,,,573-623;;3.10.20.590,,,,789-851
B1XP95	1.25.40.10,,,,403-507;;1.25.40.10,,,,508-574
B1XPA6	3.30.70.1380,,Transcriptional regulatory protein pf0864 domain like,,263-350
B1XPA7	N/A,,N/A,,N/A
B1XPB6	N/A,,N/A,,N/A
B1XPC5	2.60.200.20,,,,5-112
B1XPD4	N/A,,N/A,,N/A
B1XPE2	3.40.1210.10,,,,7-275
B1XPE7	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,1-241
B1XPF4	3.55.50.30,,,,214-304
B1XPG7	3.40.50.11270,,,,66-157;;3.40.1010.20,,,,158-219,243-287;;3.40.1010.20,,,,57-65,288-392
B1XPK2	1.10.510.10,,Transferase(Phosphotransferase) domain 1,,29-305;;2.130.10.10,,YVTN repeat-like/Quinoprotein amine dehydrogenase ,,310-482;;2.130.10.10,,YVTN repeat-like/Quinoprotein amine dehydrogenase ,,483-611
B1XPK3	3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,2-47,66-112,201-279;;1.10.150.300,,TGS-like domain,,113-200;;3.10.20.30,,,,48-65,280-362
B1XPP4	1.10.10.10,,""winged helix"" repressor DNA binding domain,,1-63
B1XPU9	N/A,,N/A,,N/A
B1XPV1	2.20.28.120,,,,2-64
B1XPX6	N/A,,N/A,,N/A
B1XPX8	3.30.1360.70,,,,1-109;;3.40.50.620,,HUPs,,113-461;;1.10.730.10,,Isoleucyl-tRNA Synthetase; Domain 1,,462-585
B1XQ64	N/A,,N/A,,N/A
B1XQ68	2.60.40.3650,,,,20-189;;1.10.390.60,,,,192-460;;2.30.42.10,,,,486-597
B1XQ75	N/A,,N/A,,N/A
B1XQ85	1.10.860.10,,DNAb Helicase; Chain A,,15-177;;3.40.50.300,,P-loop containing nucleotide triphosphate hydrolases,,245-469
B1XQ92	N/A,,N/A,,N/A
B1XQA7	N/A,,N/A,,N/A
B1XQB2	3.30.565.10,,,,1-207;;3.30.230.10,,,,230-343;;2.30.42.20,,,,388-428,508-552;;3.30.1370.100,,,,429-507
B1XQE5	3.30.1470.10,,,,2-142
B1XQF1	N/A,,N/A,,N/A
