Protein	ID interactor A,,UniProt interactor A,,Taxid interactor A,,ID interactor B,,UniProt interactor B,,Taxid interactor B,,Interaction identifier(s),,Interaction identifier(s),,Publication Identifier(s),,Interaction type(s),,Processing status
O05442	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05450	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05456	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05495	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05518	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05519	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05520	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05521	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05582	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05634	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05640	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05641	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05771	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05773	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05777	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05780	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05823	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05828	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05853	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05855	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05877	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05981	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O05982	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06137	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06159	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06170	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06194	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06218	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06243	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06263	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06278	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06311	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06396	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06403	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06404	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06457	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06476	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06491	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06492	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06538	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06597	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06604	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06611	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06614	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06802	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06807	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06825	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06925	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06974	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O06976	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07012	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07021	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07180	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07181	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07196	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07198	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07227	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07235	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07239	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07255	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07406	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07411	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07416	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07419	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07422	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07521	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07542	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07584	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07596	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07634	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07636	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07678	DIP-3670N,,O07678,,85962 (Helicobacter pylori 26695),,DIP-3669N,,P56037,,85962 (Helicobacter pylori 26695),,DIP-5372E,,two hybrid,,11196647,,physical interaction,,high throughput
O07717	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07720	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07728	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07806	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07809	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O07853	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O08309	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O08314	DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3101N,,O24874,,85962 (Helicobacter pylori 26695),,DIP-4362E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3342N,,O25103,,85962 (Helicobacter pylori 26695),,DIP-4696E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3489N,,O25416,,85962 (Helicobacter pylori 26695),,DIP-4945E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3310N,,O25041,,85962 (Helicobacter pylori 26695),,DIP-4622E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3242N,,O24956,,85962 (Helicobacter pylori 26695),,DIP-4522E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3561N,,O25546,,85962 (Helicobacter pylori 26695),,DIP-5106E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3272N,,O25960,,85962 (Helicobacter pylori 26695),,DIP-5532E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3552N,,O26026,,85962 (Helicobacter pylori 26695),,DIP-5609E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3104N,,O08314,,85962 (Helicobacter pylori 26695),,DIP-3765N,,,,85962 (Helicobacter pylori 26695),,DIP-5706E,,two hybrid,,11196647,,physical interaction,,high throughput
O08335	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O08357	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O08359	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O08394	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O24862	DIP-3110N,,O24862,,85962 (Helicobacter pylori 26695),,DIP-3109N,,O24883,,85962 (Helicobacter pylori 26695),,DIP-4368E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3110N,,O24862,,85962 (Helicobacter pylori 26695),,DIP-3145N,,P14917,,85962 (Helicobacter pylori 26695),,DIP-4411E,,two hybrid,,11196647,,physical interaction,,high throughput
O24870	DIP-3454N,,O24870,,85962 (Helicobacter pylori 26695),,DIP-3453N,,O25317,,85962 (Helicobacter pylori 26695),,DIP-4873E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3454N,,O24870,,85962 (Helicobacter pylori 26695),,DIP-3587N,,O25587,,85962 (Helicobacter pylori 26695),,DIP-5160E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3454N,,O24870,,85962 (Helicobacter pylori 26695),,DIP-3690N,,O25849,,85962 (Helicobacter pylori 26695),,DIP-5413E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3454N,,O24870,,85962 (Helicobacter pylori 26695),,DIP-3712N,,O25933,,85962 (Helicobacter pylori 26695),,DIP-5486E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3454N,,O24870,,85962 (Helicobacter pylori 26695),,DIP-3272N,,O25960,,85962 (Helicobacter pylori 26695),,DIP-5529E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3454N,,O24870,,85962 (Helicobacter pylori 26695),,DIP-3732N,,Q48251,,85962 (Helicobacter pylori 26695),,DIP-5542E,,two hybrid,,11196647,,physical interaction,,high throughput
O24875	DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3196N,,O25140,,85962 (Helicobacter pylori 26695),,DIP-4792E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3474N,,O25385,,85962 (Helicobacter pylori 26695),,DIP-4908E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3458N,,O25448,,85962 (Helicobacter pylori 26695),,DIP-4971E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3141N,,O25466,,85962 (Helicobacter pylori 26695),,DIP-4987E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3561N,,O25546,,85962 (Helicobacter pylori 26695),,DIP-5100E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3595N,,O25598,,85962 (Helicobacter pylori 26695),,DIP-5183E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3285N,,O25709,,85962 (Helicobacter pylori 26695),,DIP-5309E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3690N,,O25849,,85962 (Helicobacter pylori 26695),,DIP-5415E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3068N,,O34461,,85962 (Helicobacter pylori 26695),,DIP-5517E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3552N,,O26026,,85962 (Helicobacter pylori 26695),,DIP-5605E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3404N,,O24875,,85962 (Helicobacter pylori 26695),,DIP-3747N,,,,85962 (Helicobacter pylori 26695),,DIP-5629E,,two hybrid,,11196647,,physical interaction,,high throughput
O24895	DIP-3112N,,O24895,,85962 (Helicobacter pylori 26695),,DIP-3109N,,O24883,,85962 (Helicobacter pylori 26695),,DIP-4370E,,two hybrid,,11196647,,physical interaction,,high throughput
O24900	DIP-3455N,,O24900,,85962 (Helicobacter pylori 26695),,DIP-3453N,,O25317,,85962 (Helicobacter pylori 26695),,DIP-4874E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3455N,,O24900,,85962 (Helicobacter pylori 26695),,DIP-3272N,,O25960,,85962 (Helicobacter pylori 26695),,DIP-5530E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3455N,,O24900,,85962 (Helicobacter pylori 26695),,DIP-3764N,,,,85962 (Helicobacter pylori 26695),,DIP-5703E,,two hybrid,,11196647,,physical interaction,,high throughput
O24904	DIP-3129N,,O24904,,85962 (Helicobacter pylori 26695),,DIP-3130N,,O24903,,85962 (Helicobacter pylori 26695),,DIP-4391E,,two hybrid,,11196647,,physical interaction,,high throughput
O24911	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O24916	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O24922	DIP-3384N,,O24922,,85962 (Helicobacter pylori 26695),,DIP-3383N,,O25107,,85962 (Helicobacter pylori 26695),,DIP-4761E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3384N,,O24922,,85962 (Helicobacter pylori 26695),,DIP-3597N,,O25601,,85962 (Helicobacter pylori 26695),,DIP-5189E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3384N,,O24922,,85962 (Helicobacter pylori 26695),,DIP-3096N,,P55989,,85962 (Helicobacter pylori 26695),,DIP-5289E,,two hybrid,,11196647,,physical interaction,,high throughput
O24934	DIP-3343N,,O24934,,85962 (Helicobacter pylori 26695),,DIP-3342N,,O25103,,85962 (Helicobacter pylori 26695),,DIP-4690E,,two hybrid,,11196647,,physical interaction,,high throughput
O24974	DIP-3258N,,O24974,,85962 (Helicobacter pylori 26695),,DIP-3259N,,O25679,,85962 (Helicobacter pylori 26695),,DIP-4544E,,two hybrid,,11196647,,physical interaction,,high throughput
O24978	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O25008	DIP-3630N,,O25008,,85962 (Helicobacter pylori 26695),,DIP-3627N,,O25687,,85962 (Helicobacter pylori 26695),,DIP-5272E,,two hybrid,,11196647,,physical interaction,,high throughput
O25029	DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3201N,,P55979,,85962 (Helicobacter pylori 26695),,DIP-4475E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3221N,,O24949,,85962 (Helicobacter pylori 26695),,DIP-4501E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3297N,,P56080,,85962 (Helicobacter pylori 26695),,DIP-4598E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3298N,,P56030,,85962 (Helicobacter pylori 26695),,DIP-4600E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3299N,,O26092,,85962 (Helicobacter pylori 26695),,DIP-4602E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3470N,,P52093,,85962 (Helicobacter pylori 26695),,DIP-4900E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-4599E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-4599E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3203N,,O25029,,85962 (Helicobacter pylori 26695),,DIP-3053N,,O34810,,85962 (Helicobacter pylori 26695),,DIP-4601E,,two hybrid,,11196647,,physical interaction,,high throughput
O25032	DIP-3283N,,O25032,,85962 (Helicobacter pylori 26695),,DIP-3282N,,O25011,,85962 (Helicobacter pylori 26695),,DIP-4576E,,two hybrid,,11196647,,physical interaction,,high throughput
O25047	DIP-3592N,,O25047,,85962 (Helicobacter pylori 26695),,DIP-3591N,,O25592,,85962 (Helicobacter pylori 26695),,DIP-5178E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3592N,,O25047,,85962 (Helicobacter pylori 26695),,DIP-3257N,,O25806,,85962 (Helicobacter pylori 26695),,DIP-5353E,,two hybrid,,11196647,,physical interaction,,high throughput
O25058	DIP-3705N,,O25058,,85962 (Helicobacter pylori 26695),,DIP-3634N,,P56041,,85962 (Helicobacter pylori 26695),,DIP-5469E,,two hybrid,,11196647,,physical interaction,,high throughput
O25066	DIP-3666N,,O25066,,85962 (Helicobacter pylori 26695),,DIP-3257N,,O25806,,85962 (Helicobacter pylori 26695),,DIP-5354E,,two hybrid,,11196647,,physical interaction,,high throughput
O25068	DIP-3204N,,O25068,,85962 (Helicobacter pylori 26695),,DIP-3201N,,P55979,,85962 (Helicobacter pylori 26695),,DIP-4476E,,two hybrid,,11196647,,physical interaction,,high throughput
O25121	DIP-3091N,,O25121,,85962 (Helicobacter pylori 26695),,DIP-3089N,,O24871,,85962 (Helicobacter pylori 26695),,DIP-4347E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3091N,,O25121,,85962 (Helicobacter pylori 26695),,DIP-3264N,,O24984,,85962 (Helicobacter pylori 26695),,DIP-4551E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3091N,,O25121,,85962 (Helicobacter pylori 26695),,DIP-3537N,,O25520,,85962 (Helicobacter pylori 26695),,DIP-5050E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3091N,,O25121,,85962 (Helicobacter pylori 26695),,DIP-3690N,,O25849,,85962 (Helicobacter pylori 26695),,DIP-5421E,,two hybrid,,11196647,,physical interaction,,high throughput
O25125	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O25130	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O25164	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O25170	DIP-3304N,,O25170,,85962 (Helicobacter pylori 26695),,DIP-3300N,,O25031,,85962 (Helicobacter pylori 26695),,DIP-4607E,,two hybrid,,11196647,,physical interaction,,high throughput
O25176	DIP-3228N,,O25176,,85962 (Helicobacter pylori 26695),,DIP-3221N,,O24949,,85962 (Helicobacter pylori 26695),,DIP-4503E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3228N,,O25176,,85962 (Helicobacter pylori 26695),,DIP-3395N,,O25557,,85962 (Helicobacter pylori 26695),,DIP-5142E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3228N,,O25176,,85962 (Helicobacter pylori 26695),,DIP-3736N,,O25985,,85962 (Helicobacter pylori 26695),,DIP-5560E,,two hybrid,,11196647,,physical interaction,,high throughput
O25196	DIP-3429N,,O25196,,85962 (Helicobacter pylori 26695),,DIP-3205N,,O25074,,85962 (Helicobacter pylori 26695),,DIP-4836E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3429N,,O25196,,85962 (Helicobacter pylori 26695),,DIP-3430N,,O25171,,85962 (Helicobacter pylori 26695),,DIP-4837E,,two hybrid,,11196647,,physical interaction,,high throughput
O25214	DIP-3243N,,O25214,,85962 (Helicobacter pylori 26695),,DIP-3242N,,O24956,,85962 (Helicobacter pylori 26695),,DIP-4523E,,two hybrid,,11196647,,physical interaction,,high throughput
O25235	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O25247	DIP-3505N,,O25247,,85962 (Helicobacter pylori 26695),,DIP-3504N,,O25457,,85962 (Helicobacter pylori 26695),,DIP-4983E,,two hybrid,,11196647,,physical interaction,,high throughput
O25252	DIP-3445N,,O25252,,85962 (Helicobacter pylori 26695),,DIP-3444N,,P96528,,85962 (Helicobacter pylori 26695),,DIP-4860E,,two hybrid,,11196647,,physical interaction,,high throughput
O25273	DIP-3352N,,O25273,,85962 (Helicobacter pylori 26695),,DIP-3342N,,O25103,,85962 (Helicobacter pylori 26695),,DIP-4702E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3352N,,O25273,,85962 (Helicobacter pylori 26695),,DIP-3651N,,O25730,,85962 (Helicobacter pylori 26695),,DIP-5324E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3352N,,O25273,,85962 (Helicobacter pylori 26695),,DIP-3153N,,O26022,,85962 (Helicobacter pylori 26695),,DIP-5592E,,two hybrid,,11196647,,physical interaction,,high throughput
O25284	DIP-3484N,,O25284,,85962 (Helicobacter pylori 26695),,DIP-3080N,,O25404,,85962 (Helicobacter pylori 26695),,DIP-4931E,,two hybrid,,11196647,,physical interaction,,high throughput
O25298	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O25308	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
O25330	DIP-3231N,,O25330,,85962 (Helicobacter pylori 26695),,DIP-3221N,,O24949,,85962 (Helicobacter pylori 26695),,DIP-4506E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3231N,,O25330,,85962 (Helicobacter pylori 26695),,DIP-3399N,,O25135,,85962 (Helicobacter pylori 26695),,DIP-4786E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3231N,,O25330,,85962 (Helicobacter pylori 26695),,DIP-3208N,,O25338,,85962 (Helicobacter pylori 26695),,DIP-4890E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3231N,,O25330,,85962 (Helicobacter pylori 26695),,DIP-3264N,,O24984,,85962 (Helicobacter pylori 26695),,DIP-4552E,,two hybrid,,11196647,,physical interaction,,high throughput;;DIP-3231N,,O25330,,85962 (Helicobacter pylori 26695),,DIP-3754N,,O26067,,85962 (Helicobacter pylori 26695),,DIP-5650E,,two hybrid,,11196647,,physical interaction,,high throughput
O25395	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
