Protein	ID,,Description
A0A1Y0Q1Y2	kpg00540,,Lipopolysaccharide biosynthesis;;kpg01100,,Metabolic pathways;;kpt00540,,Lipopolysaccharide biosynthesis;;kpt01100,,Metabolic pathways;;kpv00540,,Lipopolysaccharide biosynthesis;;kpv01100,,Metabolic pathways;;kpw00540,,Lipopolysaccharide biosynthesis;;kpw01100,,Metabolic pathways;;kpy00540,,Lipopolysaccharide biosynthesis;;kpy01100,,Metabolic pathways
A0A1Y0Q2H3	kpg03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A1Y0Q5A7	N/A,,N/A
A0A1Y0Q5B5	kpg00061,,Fatty acid biosynthesis;;kpg00780,,Biotin metabolism;;kpg01100,,Metabolic pathways;;kpg01212,,Fatty acid metabolism;;kpv00061,,Fatty acid biosynthesis;;kpv00780,,Biotin metabolism;;kpv01100,,Metabolic pathways;;kpv01212,,Fatty acid metabolism;;kpw00061,,Fatty acid biosynthesis;;kpw00780,,Biotin metabolism;;kpw01100,,Metabolic pathways;;kpw01212,,Fatty acid metabolism;;kpy00061,,Fatty acid biosynthesis;;kpy00780,,Biotin metabolism;;kpy01100,,Metabolic pathways;;kpy01212,,Fatty acid metabolism
A0A1Y0Q5T0	kpg03020,,RNA polymerase;;kpt03020,,RNA polymerase;;kpv03020,,RNA polymerase;;kpw03020,,RNA polymerase;;kpy03020,,RNA polymerase
A0A1Y0Q6J4	kpg03018,,RNA degradation;;kpt03018,,RNA degradation;;kpv03018,,RNA degradation;;kpw03018,,RNA degradation;;kpy03018,,RNA degradation
A0A1Y0Q7E7	N/A,,N/A
A0A1Y0QAF1	kpt00190,,Oxidative phosphorylation;;kpt01100,,Metabolic pathways;;kpv00190,,Oxidative phosphorylation;;kpv01100,,Metabolic pathways;;kpy00190,,Oxidative phosphorylation;;kpy01100,,Metabolic pathways
A0A221FR80	N/A,,N/A
A0A232JHL2	N/A,,N/A
A0A249N0Z0	N/A,,N/A
A0A249N188	N/A,,N/A
A0A249N268	N/A,,N/A
A0A249N2U1	N/A,,N/A
A0A249N3F1	N/A,,N/A
A0A249N4D0	N/A,,N/A
A0A249N4E5	N/A,,N/A
A0A249N7N0	N/A,,N/A
A0A249N865	N/A,,N/A
A0A2A2XF63	sfl00910,,Nitrogen metabolism;;sfl01120,,Microbial metabolism in diverse environments
A0A2D1HGK0	kpg00230,,Purine metabolism;;kpg01100,,Metabolic pathways;;kpg01110,,Biosynthesis of secondary metabolites;;kpg01130,,Biosynthesis of antibiotics;;kpw00230,,Purine metabolism;;kpw01100,,Metabolic pathways;;kpw01110,,Biosynthesis of secondary metabolites;;kpw01130,,Biosynthesis of antibiotics
A0A2D1HLQ6	N/A,,N/A
A0A2D1HNA1	kpy00340,,Histidine metabolism;;kpy01100,,Metabolic pathways
A0A2G3ESE2	sfl02060,,Phosphotransferase system (PTS)
A0A2I8JJ96	sfl00020,,Citrate cycle (TCA cycle);;sfl00190,,Oxidative phosphorylation;;sfl00650,,Butanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A2K2IQM3	N/A,,N/A
A0A2K2IYQ5	N/A,,N/A
A0A2L1XSV0	N/A,,N/A
A0A2S4MSA7	N/A,,N/A
A0A2S4MSB0	N/A,,N/A
A0A2S4MSL1	sfl00010,,Glycolysis / Gluconeogenesis;;sfl00020,,Citrate cycle (TCA cycle);;sfl00620,,Pyruvate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A2S4MST5	sfl03030,,DNA replication;;sfl03430,,Mismatch repair;;sfl03440,,Homologous recombination
A0A2S4MTC3	sfl00730,,Thiamine metabolism;;sfl01100,,Metabolic pathways
A0A2S4MTW3	N/A,,N/A
A0A2S4MTW6	sfl00020,,Citrate cycle (TCA cycle);;sfl00310,,Lysine degradation;;sfl00380,,Tryptophan metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A2S4MUX3	N/A,,N/A
A0A2S4MVT6	N/A,,N/A
A0A2S4MVZ4	N/A,,N/A
A0A2S4MW07	sfl00620,,Pyruvate metabolism;;sfl00640,,Propanoate metabolism;;sfl00650,,Butanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01120,,Microbial metabolism in diverse environments
A0A2S4MWH0	sfl00620,,Pyruvate metabolism;;sfl00680,,Methane metabolism;;sfl01100,,Metabolic pathways;;sfl01120,,Microbial metabolism in diverse environments;;sfl01200,,Carbon metabolism
A0A2S4MWS5	N/A,,N/A
A0A2S4MX43	sfl00010,,Glycolysis / Gluconeogenesis;;sfl00230,,Purine metabolism;;sfl00620,,Pyruvate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sfl01230,,Biosynthesis of amino acids
A0A2S4MX48	N/A,,N/A
A0A2S4MXM8	N/A,,N/A
A0A2S4MY18	N/A,,N/A
A0A2S4MY63	N/A,,N/A
A0A2S4MY66	sfl00620,,Pyruvate metabolism;;sfl01120,,Microbial metabolism in diverse environments
A0A2S4MYB8	sfl02020,,Two-component system
A0A2S4MYE3	sfl00130,,Ubiquinone and other terpenoid-quinone biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites
A0A2S4MYQ0	N/A,,N/A
A0A2S4MZF3	sfl00230,,Purine metabolism;;sfl00240,,Pyrimidine metabolism;;sfl01100,,Metabolic pathways
A0A2S4N046	N/A,,N/A
A0A2S4N062	N/A,,N/A
A0A2S4N0X4	sfl02010,,ABC transporters
A0A2S4N1A1	N/A,,N/A
A0A2S4N1S8	N/A,,N/A
A0A2S4N2L0	N/A,,N/A
A0A2S4N3Q4	sfl00260,,Glycine, serine and threonine metabolism;;sfl00261,,Monobactam biosynthesis;;sfl00270,,Cysteine and methionine metabolism;;sfl00300,,Lysine biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01230,,Biosynthesis of amino acids
A0A2S4N3W2	N/A,,N/A
A0A2S8EHG0	N/A,,N/A
A0A2S8TUG1	kpg03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2T7VZH9	N/A,,N/A
A0A2W0I5Q2	N/A,,N/A
A0A2W0ISL7	kpg03010,,Ribosome;;kpt03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2W0ITA0	kpg03010,,Ribosome;;kpt03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2W0IWE8	kpg03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2W0NPM7	kpg03010,,Ribosome;;kpt03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2W0T4A3	kpg03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2W0U5L8	kpg03010,,Ribosome;;kpt03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2W0YG69	kpg03010,,Ribosome;;kpv03010,,Ribosome;;kpw03010,,Ribosome;;kpy03010,,Ribosome
A0A2W0ZR09	kpg01503,,Cationic antimicrobial peptide (CAMP) resistance;;kpg02020,,Two-component system;;kpt01503,,Cationic antimicrobial peptide (CAMP) resistance;;kpt02020,,Two-component system;;kpv01503,,Cationic antimicrobial peptide (CAMP) resistance;;kpv02020,,Two-component system;;kpw01503,,Cationic antimicrobial peptide (CAMP) resistance;;kpw02020,,Two-component system;;kpy01503,,Cationic antimicrobial peptide (CAMP) resistance;;kpy02020,,Two-component system
A0A2X3GUD7	kpg00230,,Purine metabolism;;kpg00240,,Pyrimidine metabolism;;kpg00760,,Nicotinate and nicotinamide metabolism;;kpg01100,,Metabolic pathways;;kpg01110,,Biosynthesis of secondary metabolites;;kpv00230,,Purine metabolism;;kpv00240,,Pyrimidine metabolism;;kpv00760,,Nicotinate and nicotinamide metabolism;;kpv01100,,Metabolic pathways;;kpv01110,,Biosynthesis of secondary metabolites;;kpw00230,,Purine metabolism;;kpw00240,,Pyrimidine metabolism;;kpw00760,,Nicotinate and nicotinamide metabolism;;kpw01100,,Metabolic pathways;;kpw01110,,Biosynthesis of secondary metabolites;;kpy00230,,Purine metabolism;;kpy00240,,Pyrimidine metabolism;;kpy00760,,Nicotinate and nicotinamide metabolism;;kpy01100,,Metabolic pathways;;kpy01110,,Biosynthesis of secondary metabolites
A0A2X3HFU8	kpg00970,,Aminoacyl-tRNA biosynthesis;;kpv00970,,Aminoacyl-tRNA biosynthesis;;kpw00970,,Aminoacyl-tRNA biosynthesis;;kpy00970,,Aminoacyl-tRNA biosynthesis
A0A2X3HGK1	kpg00010,,Glycolysis / Gluconeogenesis;;kpg00260,,Glycine, serine and threonine metabolism;;kpg00680,,Methane metabolism;;kpg01100,,Metabolic pathways;;kpg01110,,Biosynthesis of secondary metabolites;;kpg01120,,Microbial metabolism in diverse environments;;kpg01130,,Biosynthesis of antibiotics;;kpg01200,,Carbon metabolism;;kpg01230,,Biosynthesis of amino acids;;kpt00010,,Glycolysis / Gluconeogenesis;;kpt00260,,Glycine, serine and threonine metabolism;;kpt00680,,Methane metabolism;;kpt01100,,Metabolic pathways;;kpt01110,,Biosynthesis of secondary metabolites;;kpt01120,,Microbial metabolism in diverse environments;;kpt01130,,Biosynthesis of antibiotics;;kpt01200,,Carbon metabolism;;kpt01230,,Biosynthesis of amino acids;;kpv00010,,Glycolysis / Gluconeogenesis;;kpv00260,,Glycine, serine and threonine metabolism;;kpv00680,,Methane metabolism;;kpv01100,,Metabolic pathways;;kpv01110,,Biosynthesis of secondary metabolites;;kpv01120,,Microbial metabolism in diverse environments;;kpv01130,,Biosynthesis of antibiotics;;kpv01200,,Carbon metabolism;;kpv01230,,Biosynthesis of amino acids;;kpw00010,,Glycolysis / Gluconeogenesis;;kpw00260,,Glycine, serine and threonine metabolism;;kpw00680,,Methane metabolism;;kpw01100,,Metabolic pathways;;kpw01110,,Biosynthesis of secondary metabolites;;kpw01120,,Microbial metabolism in diverse environments;;kpw01130,,Biosynthesis of antibiotics;;kpw01200,,Carbon metabolism;;kpw01230,,Biosynthesis of amino acids;;kpy00010,,Glycolysis / Gluconeogenesis;;kpy00260,,Glycine, serine and threonine metabolism;;kpy00680,,Methane metabolism;;kpy01100,,Metabolic pathways;;kpy01110,,Biosynthesis of secondary metabolites;;kpy01120,,Microbial metabolism in diverse environments;;kpy01130,,Biosynthesis of antibiotics;;kpy01200,,Carbon metabolism;;kpy01230,,Biosynthesis of amino acids
A0A2X3HRY5	kpg00010,,Glycolysis / Gluconeogenesis;;kpg01100,,Metabolic pathways;;kpg01110,,Biosynthesis of secondary metabolites;;kpg01120,,Microbial metabolism in diverse environments;;kpg01130,,Biosynthesis of antibiotics;;kpg01200,,Carbon metabolism;;kpg01230,,Biosynthesis of amino acids;;kpv00010,,Glycolysis / Gluconeogenesis;;kpv01100,,Metabolic pathways;;kpv01110,,Biosynthesis of secondary metabolites;;kpv01120,,Microbial metabolism in diverse environments;;kpv01130,,Biosynthesis of antibiotics;;kpv01200,,Carbon metabolism;;kpv01230,,Biosynthesis of amino acids;;kpw00010,,Glycolysis / Gluconeogenesis;;kpw01100,,Metabolic pathways;;kpw01110,,Biosynthesis of secondary metabolites;;kpw01120,,Microbial metabolism in diverse environments;;kpw01130,,Biosynthesis of antibiotics;;kpw01200,,Carbon metabolism;;kpw01230,,Biosynthesis of amino acids;;kpy00010,,Glycolysis / Gluconeogenesis;;kpy01100,,Metabolic pathways;;kpy01110,,Biosynthesis of secondary metabolites;;kpy01120,,Microbial metabolism in diverse environments;;kpy01130,,Biosynthesis of antibiotics;;kpy01200,,Carbon metabolism;;kpy01230,,Biosynthesis of amino acids
A0A2X3IF64	kpg00040,,Pentose and glucuronate interconversions;;kpg01100,,Metabolic pathways;;kpt00040,,Pentose and glucuronate interconversions;;kpt01100,,Metabolic pathways;;kpv00040,,Pentose and glucuronate interconversions;;kpv01100,,Metabolic pathways;;kpw00040,,Pentose and glucuronate interconversions;;kpw01100,,Metabolic pathways;;kpy00040,,Pentose and glucuronate interconversions;;kpy01100,,Metabolic pathways
A0A2X3IQU0	kpg00561,,Glycerolipid metabolism;;kpg01100,,Metabolic pathways;;kpt00561,,Glycerolipid metabolism;;kpt01100,,Metabolic pathways;;kpv00561,,Glycerolipid metabolism;;kpv01100,,Metabolic pathways;;kpw00561,,Glycerolipid metabolism;;kpw01100,,Metabolic pathways;;kpy00561,,Glycerolipid metabolism;;kpy01100,,Metabolic pathways
A0A2X3IQX4	kpg03020,,RNA polymerase;;kpt03020,,RNA polymerase;;kpv03020,,RNA polymerase;;kpw03020,,RNA polymerase;;kpy03020,,RNA polymerase
A0A2X3IR88	kpg00030,,Pentose phosphate pathway;;kpg00230,,Purine metabolism;;kpv00030,,Pentose phosphate pathway;;kpv00230,,Purine metabolism;;kpw00030,,Pentose phosphate pathway;;kpw00230,,Purine metabolism
A0A2X3IUK5	kpg00480,,Glutathione metabolism;;kpg01100,,Metabolic pathways;;kpt00480,,Glutathione metabolism;;kpt01100,,Metabolic pathways;;kpw00480,,Glutathione metabolism;;kpw01100,,Metabolic pathways
A0A2Y4XEU7	N/A,,N/A
A0A384K8E5	sfl00020,,Citrate cycle (TCA cycle);;sfl00480,,Glutathione metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sfl01210,,2-Oxocarboxylic acid metabolism;;sfl01230,,Biosynthesis of amino acids;;sft00020,,Citrate cycle (TCA cycle);;sft00480,,Glutathione metabolism;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites;;sft01120,,Microbial metabolism in diverse environments;;sft01130,,Biosynthesis of antibiotics;;sft01200,,Carbon metabolism;;sft01210,,2-Oxocarboxylic acid metabolism;;sft01230,,Biosynthesis of amino acids
A0A384K9A1	sfl00270,,Cysteine and methionine metabolism;;sfl00280,,Valine, leucine and isoleucine degradation;;sfl00290,,Valine, leucine and isoleucine biosynthesis;;sfl00770,,Pantothenate and CoA biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01130,,Biosynthesis of antibiotics;;sfl01210,,2-Oxocarboxylic acid metabolism;;sfl01230,,Biosynthesis of amino acids;;sft00270,,Cysteine and methionine metabolism;;sft00280,,Valine, leucine and isoleucine degradation;;sft00290,,Valine, leucine and isoleucine biosynthesis;;sft00770,,Pantothenate and CoA biosynthesis;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites;;sft01130,,Biosynthesis of antibiotics;;sft01210,,2-Oxocarboxylic acid metabolism;;sft01230,,Biosynthesis of amino acids
A0A384KCS0	sfl02020,,Two-component system;;sft02020,,Two-component system
A0A384KEN1	sfl00260,,Glycine, serine and threonine metabolism;;sfl00564,,Glycerophospholipid metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sft00260,,Glycine, serine and threonine metabolism;;sft00564,,Glycerophospholipid metabolism;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites
A0A384KES1	N/A,,N/A
A0A384KG73	N/A,,N/A
A0A384KG77	N/A,,N/A
A0A384KIQ0	sfl00270,,Cysteine and methionine metabolism;;sfl01100,,Metabolic pathways;;sft00270,,Cysteine and methionine metabolism;;sft01100,,Metabolic pathways
A0A384KJH6	sfl00310,,Lysine degradation;;sfl01120,,Microbial metabolism in diverse environments;;sft00310,,Lysine degradation;;sft01120,,Microbial metabolism in diverse environments
A0A384KN81	N/A,,N/A
A0A384KQF8	sfl00250,,Alanine, aspartate and glutamate metabolism;;sfl00910,,Nitrogen metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01230,,Biosynthesis of amino acids;;sft00250,,Alanine, aspartate and glutamate metabolism;;sft00910,,Nitrogen metabolism;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites;;sft01120,,Microbial metabolism in diverse environments;;sft01130,,Biosynthesis of antibiotics;;sft01230,,Biosynthesis of amino acids
A0A384KRI4	N/A,,N/A
A0A384KRU9	sfl00860,,Porphyrin and chlorophyll metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sft00860,,Porphyrin and chlorophyll metabolism;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites
A0A384KU37	sfl00030,,Pentose phosphate pathway;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A384L0X3	sfl00540,,Lipopolysaccharide biosynthesis;;sfl01100,,Metabolic pathways;;sft00540,,Lipopolysaccharide biosynthesis;;sft01100,,Metabolic pathways
A0A384L159	sfl02010,,ABC transporters;;sft02010,,ABC transporters
A0A384L1N9	sfl03440,,Homologous recombination;;sft03440,,Homologous recombination
A0A384L4I2	N/A,,N/A
A0A384L4W3	sfl00020,,Citrate cycle (TCA cycle);;sfl00640,,Propanoate metabolism;;sfl00660,,C5-Branched dibasic acid metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sft00020,,Citrate cycle (TCA cycle);;sft00640,,Propanoate metabolism;;sft00660,,C5-Branched dibasic acid metabolism;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites;;sft01120,,Microbial metabolism in diverse environments;;sft01130,,Biosynthesis of antibiotics;;sft01200,,Carbon metabolism
A0A384L571	sfl00270,,Cysteine and methionine metabolism;;sfl00350,,Tyrosine metabolism;;sfl00360,,Phenylalanine metabolism;;sfl00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;sfl00401,,Novobiocin biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01130,,Biosynthesis of antibiotics;;sfl01230,,Biosynthesis of amino acids;;sft00270,,Cysteine and methionine metabolism;;sft00350,,Tyrosine metabolism;;sft00360,,Phenylalanine metabolism;;sft00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;sft00401,,Novobiocin biosynthesis;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites;;sft01130,,Biosynthesis of antibiotics;;sft01230,,Biosynthesis of amino acids
A0A384L8I3	N/A,,N/A
A0A384L9V6	N/A,,N/A
A0A384LJ77	N/A,,N/A
A0A384LKD4	N/A,,N/A
A0A384LMI5	sfl00250,,Alanine, aspartate and glutamate metabolism;;sfl00460,,Cyanoamino acid metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sft00250,,Alanine, aspartate and glutamate metabolism;;sft00460,,Cyanoamino acid metabolism;;sft01100,,Metabolic pathways;;sft01110,,Biosynthesis of secondary metabolites
A0A384LPJ8	N/A,,N/A
A0A384LPW3	sfl00500,,Starch and sucrose metabolism;;sfl02060,,Phosphotransferase system (PTS);;sft00500,,Starch and sucrose metabolism;;sft02060,,Phosphotransferase system (PTS)
A0A384LQF0	sfl03430,,Mismatch repair;;sft03430,,Mismatch repair
A0A384LQK7	sfl00230,,Purine metabolism;;sfl00240,,Pyrimidine metabolism;;sfl01100,,Metabolic pathways;;sft00230,,Purine metabolism;;sft00240,,Pyrimidine metabolism;;sft01100,,Metabolic pathways
A0A399DPS6	N/A,,N/A
A0A399DRI1	N/A,,N/A
A0A399DS01	N/A,,N/A
A0A399DUG9	N/A,,N/A
A0A399DYN6	N/A,,N/A
A0A399E4K3	N/A,,N/A
A0A399E6K4	N/A,,N/A
A0A399E757	N/A,,N/A
A0A399E964	N/A,,N/A
A0A399EAK2	N/A,,N/A
A0A4Z9	rpa02020,,Two-component system
A0AF17	N/A,,N/A
A0AF43	lwe03010,,Ribosome
A0AHG7	lwe00010,,Glycolysis / Gluconeogenesis;;lwe00020,,Citrate cycle (TCA cycle);;lwe00260,,Glycine, serine and threonine metabolism;;lwe00280,,Valine, leucine and isoleucine degradation;;lwe00310,,Lysine degradation;;lwe00380,,Tryptophan metabolism;;lwe00620,,Pyruvate metabolism;;lwe00630,,Glyoxylate and dicarboxylate metabolism;;lwe00640,,Propanoate metabolism;;lwe01100,,Metabolic pathways;;lwe01110,,Biosynthesis of secondary metabolites;;lwe01120,,Microbial metabolism in diverse environments;;lwe01130,,Biosynthesis of antibiotics;;lwe01200,,Carbon metabolism
A0AIK3	N/A,,N/A
A0AK46	N/A,,N/A
A0AL98	N/A,,N/A
A0ALE4	lwe00010,,Glycolysis / Gluconeogenesis;;lwe01100,,Metabolic pathways;;lwe01110,,Biosynthesis of secondary metabolites;;lwe01120,,Microbial metabolism in diverse environments;;lwe01130,,Biosynthesis of antibiotics;;lwe01200,,Carbon metabolism;;lwe01230,,Biosynthesis of amino acids
A0ALP2	lwe00562,,Inositol phosphate metabolism;;lwe01100,,Metabolic pathways;;lwe01120,,Microbial metabolism in diverse environments
A0PNL7	mul03018,,RNA degradation;;mul05152,,Tuberculosis
A0QNE2	N/A,,N/A
A0QNF6	msb01503,,Cationic antimicrobial peptide (CAMP) resistance;;msm01503,,Cationic antimicrobial peptide (CAMP) resistance
A0QNG1	N/A,,N/A
A0QNG2	N/A,,N/A
A0QNG7	N/A,,N/A
A0QNI2	N/A,,N/A
A0QNJ7	N/A,,N/A
A0QP02	N/A,,N/A
A0QP27	N/A,,N/A
A0QP93	N/A,,N/A
A0QPF7	N/A,,N/A
A0QPN2	N/A,,N/A
A0QQ61	msb01501,,beta-Lactam resistance;;msb02010,,ABC transporters;;msb02024,,Quorum sensing;;msm01501,,beta-Lactam resistance;;msm02010,,ABC transporters;;msm02024,,Quorum sensing
A0QQB2	N/A,,N/A
A0QQH1	N/A,,N/A
A0QQI7	msb00270,,Cysteine and methionine metabolism;;msb00920,,Sulfur metabolism;;msb01100,,Metabolic pathways;;msm00270,,Cysteine and methionine metabolism;;msm00920,,Sulfur metabolism;;msm01100,,Metabolic pathways
A0QR05	N/A,,N/A
A0QRP3	N/A,,N/A
A0QRV7	N/A,,N/A
A0QS52	N/A,,N/A
A0QS80	N/A,,N/A
A0QSD6	msb03010,,Ribosome;;msg03010,,Ribosome;;msm03010,,Ribosome
A0QSD7	msb03010,,Ribosome;;msg03010,,Ribosome;;msm03010,,Ribosome
A0QSG6	msg03010,,Ribosome;;msm03010,,Ribosome
A0QSP8	msb03010,,Ribosome;;msg03010,,Ribosome;;msm03010,,Ribosome
A0QSQ1	msb00520,,Amino sugar and nucleotide sugar metabolism;;msb01100,,Metabolic pathways;;msb01130,,Biosynthesis of antibiotics;;msg00520,,Amino sugar and nucleotide sugar metabolism;;msg01100,,Metabolic pathways;;msg01130,,Biosynthesis of antibiotics;;msm00520,,Amino sugar and nucleotide sugar metabolism;;msm01100,,Metabolic pathways;;msm01130,,Biosynthesis of antibiotics
A0QSS3	N/A,,N/A
A0QSU3	msb00230,,Purine metabolism;;msb01100,,Metabolic pathways;;msb01110,,Biosynthesis of secondary metabolites;;msm00230,,Purine metabolism;;msm01100,,Metabolic pathways;;msm01110,,Biosynthesis of secondary metabolites
A0QSY1	N/A,,N/A
A0QT33	msb00051,,Fructose and mannose metabolism;;msb00520,,Amino sugar and nucleotide sugar metabolism;;msb01100,,Metabolic pathways;;msb01110,,Biosynthesis of secondary metabolites;;msb01130,,Biosynthesis of antibiotics;;msm00051,,Fructose and mannose metabolism;;msm00520,,Amino sugar and nucleotide sugar metabolism;;msm01100,,Metabolic pathways;;msm01110,,Biosynthesis of secondary metabolites;;msm01130,,Biosynthesis of antibiotics
A0QUA6	msb00010,,Glycolysis / Gluconeogenesis;;msb00030,,Pentose phosphate pathway;;msb00052,,Galactose metabolism;;msb00230,,Purine metabolism;;msb00500,,Starch and sucrose metabolism;;msb00520,,Amino sugar and nucleotide sugar metabolism;;msb00521,,Streptomycin biosynthesis;;msb01100,,Metabolic pathways;;msb01110,,Biosynthesis of secondary metabolites;;msb01120,,Microbial metabolism in diverse environments;;msb01130,,Biosynthesis of antibiotics;;msm00010,,Glycolysis / Gluconeogenesis;;msm00030,,Pentose phosphate pathway;;msm00052,,Galactose metabolism;;msm00230,,Purine metabolism;;msm00500,,Starch and sucrose metabolism;;msm00520,,Amino sugar and nucleotide sugar metabolism;;msm00521,,Streptomycin biosynthesis;;msm01100,,Metabolic pathways;;msm01110,,Biosynthesis of secondary metabolites;;msm01120,,Microbial metabolism in diverse environments;;msm01130,,Biosynthesis of antibiotics
A0QUX6	msb00290,,Valine, leucine and isoleucine biosynthesis;;msb00650,,Butanoate metabolism;;msb00660,,C5-Branched dibasic acid metabolism;;msb00770,,Pantothenate and CoA biosynthesis;;msb01100,,Metabolic pathways;;msb01110,,Biosynthesis of secondary metabolites;;msb01130,,Biosynthesis of antibiotics;;msb01210,,2-Oxocarboxylic acid metabolism;;msb01230,,Biosynthesis of amino acids;;msm00290,,Valine, leucine and isoleucine biosynthesis;;msm00650,,Butanoate metabolism;;msm00660,,C5-Branched dibasic acid metabolism;;msm00770,,Pantothenate and CoA biosynthesis;;msm01100,,Metabolic pathways;;msm01110,,Biosynthesis of secondary metabolites;;msm01130,,Biosynthesis of antibiotics;;msm01210,,2-Oxocarboxylic acid metabolism;;msm01230,,Biosynthesis of amino acids
A0QV26	msm02024,,Quorum sensing;;msm03060,,Protein export;;msm03070,,Bacterial secretion system
A0QV37	msb03010,,Ribosome;;msg03010,,Ribosome;;msm03010,,Ribosome
A0QVT6	N/A,,N/A
A0QVY1	N/A,,N/A
A0QVY4	N/A,,N/A
A0QVZ3	N/A,,N/A
A0QW11	N/A,,N/A
A0QWG9	msb01040,,Biosynthesis of unsaturated fatty acids;;msm01040,,Biosynthesis of unsaturated fatty acids
A0QWQ9	msb00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;msb01100,,Metabolic pathways;;msb01110,,Biosynthesis of secondary metabolites;;msb01130,,Biosynthesis of antibiotics;;msb01230,,Biosynthesis of amino acids;;msg00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;msg01100,,Metabolic pathways;;msg01110,,Biosynthesis of secondary metabolites;;msg01130,,Biosynthesis of antibiotics;;msg01230,,Biosynthesis of amino acids;;msm00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;msm01100,,Metabolic pathways;;msm01110,,Biosynthesis of secondary metabolites;;msm01130,,Biosynthesis of antibiotics;;msm01230,,Biosynthesis of amino acids
A0QWR2	N/A,,N/A
